eta, total load
   0.000000, 54480.601250
   0.020408, 53986.690479
   0.040816, 53842.830837
   0.061224, 53630.302335
   0.081633, 53359.333326
   0.102041, 53036.886988
   0.122449, 52668.258893
   0.142857, 52257.721945
   0.163265, 51808.867914
   0.183673, 51324.822365
   0.204082, 50808.402922
   0.224490, 50262.260864
   0.244898, 49689.046284
   0.265306, 49091.681238
   0.285714, 48457.588555
   0.306122, 47805.305907
   0.326531, 47196.302807
   0.346939, 46537.331570
   0.367347, 45862.829274
   0.387755, 45172.739653
   0.408163, 44467.299893
   0.428571, 43746.853747
   0.448980, 43011.759630
   0.469388, 42262.336890
   0.489796, 41498.831295
   0.510204, 40721.232449
   0.530612, 39929.549177
   0.551020, 39123.813831
   0.571429, 38303.743478
   0.591837, 37468.866390
   0.612245, 36618.489179
   0.632653, 35751.654876
   0.653061, 34867.088652
   0.673469, 33963.126770
   0.693878, 33037.622567
   0.714286, 32087.820605
   0.734694, 31110.185928
   0.755102, 30100.168877
   0.775510, 29051.875273
   0.795918, 27957.594114
   0.816327, 26807.104237
   0.836735, 25586.625746
   0.857143, 24277.175323
   0.877551, 22851.865838
   0.897959, 21271.201547
   0.918367, 19474.193710
   0.938776, 17359.516049
   0.959184, 14737.491772
   0.979592, 11159.159615
   1.000000,    0.000000
