eta, alpha_i
   0.000000,    2.763777
   0.005025,    2.765360
   0.010050,    2.766701
   0.015075,    2.767639
   0.020101,    2.768373
   0.025126,    2.768979
   0.030151,    2.769498
   0.035176,    2.769949
   0.040201,    2.770349
   0.045226,    2.770707
   0.050251,    2.771028
   0.055276,    2.771319
   0.060302,    2.771583
   0.065327,    2.771824
   0.070352,    2.772044
   0.075377,    2.772244
   0.080402,    2.772427
   0.085427,    2.772594
   0.090452,    2.772747
   0.095477,    2.772886
   0.100503,    2.773012
   0.105528,    2.773127
   0.110553,    2.773232
   0.115578,    2.773326
   0.120603,    2.773411
   0.125628,    2.773487
   0.130653,    2.773555
   0.135678,    2.773615
   0.140704,    2.773668
   0.145729,    2.773714
   0.150754,    2.773754
   0.155779,    2.773788
   0.160804,    2.773817
   0.165829,    2.773840
   0.170854,    2.773858
   0.175879,    2.773871
   0.180905,    2.773881
   0.185930,    2.773885
   0.190955,    2.773886
   0.195980,    2.773884
   0.201005,    2.773877
   0.206030,    2.773867
   0.211055,    2.773855
   0.216080,    2.773839
   0.221106,    2.773820
   0.226131,    2.773798
   0.231156,    2.773774
   0.236181,    2.773747
   0.241206,    2.773718
   0.246231,    2.773686
   0.251256,    2.773652
   0.256281,    2.773616
   0.261307,    2.773577
   0.266332,    2.773536
   0.271357,    2.773493
   0.276382,    2.773448
   0.281407,    2.773401
   0.286432,    2.773352
   0.291457,    2.773300
   0.296482,    2.773196
   0.301508,    2.772318
   0.306533,    2.769969
   0.311558,    2.767786
   0.316583,    2.765603
   0.321608,    2.763417
   0.326633,    2.761231
   0.331658,    2.759042
   0.336683,    2.756853
   0.341709,    2.754661
   0.346734,    2.752469
   0.351759,    2.750275
   0.356784,    2.748080
   0.361809,    2.745883
   0.366834,    2.743685
   0.371859,    2.741487
   0.376884,    2.739287
   0.381910,    2.737085
   0.386935,    2.734883
   0.391960,    2.732680
   0.396985,    2.730476
   0.402010,    2.728271
   0.407035,    2.726065
   0.412060,    2.723859
   0.417085,    2.721651
   0.422111,    2.719443
   0.427136,    2.717234
   0.432161,    2.715025
   0.437186,    2.712815
   0.442211,    2.710604
   0.447236,    2.708392
   0.452261,    2.706180
   0.457286,    2.703968
   0.462312,    2.701755
   0.467337,    2.699542
   0.472362,    2.697328
   0.477387,    2.695114
   0.482412,    2.692900
   0.487437,    2.690686
   0.492462,    2.688473
   0.497487,    2.686264
   0.502513,    2.684047
   0.507538,    2.681822
   0.512563,    2.679601
   0.517588,    2.677381
   0.522613,    2.675161
   0.527638,    2.672941
   0.532663,    2.670721
   0.537688,    2.668501
   0.542714,    2.666281
   0.547739,    2.664061
   0.552764,    2.661841
   0.557789,    2.659621
   0.562814,    2.657401
   0.567839,    2.655180
   0.572864,    2.652960
   0.577889,    2.650739
   0.582915,    2.648519
   0.587940,    2.646299
   0.592965,    2.644078
   0.597990,    2.641858
   0.603015,    2.639638
   0.608040,    2.637418
   0.613065,    2.635198
   0.618090,    2.632979
   0.623116,    2.630760
   0.628141,    2.628541
   0.633166,    2.626322
   0.638191,    2.624104
   0.643216,    2.621887
   0.648241,    2.619669
   0.653266,    2.617453
   0.658291,    2.615237
   0.663317,    2.613022
   0.668342,    2.610807
   0.673367,    2.608594
   0.678392,    2.606381
   0.683417,    2.604169
   0.688442,    2.601959
   0.693467,    2.599750
   0.698492,    2.597542
   0.703518,    2.595335
   0.708543,    2.593131
   0.713568,    2.590927
   0.718593,    2.588726
   0.723618,    2.586527
   0.728643,    2.584330
   0.733668,    2.582136
   0.738693,    2.579944
   0.743719,    2.577755
   0.748744,    2.575570
   0.753769,    2.573387
   0.758794,    2.571209
   0.763819,    2.569034
   0.768844,    2.566864
   0.773869,    2.564699
   0.778894,    2.562539
   0.783920,    2.560385
   0.788945,    2.558237
   0.793970,    2.556096
   0.798995,    2.553963
   0.804020,    2.551838
   0.809045,    2.549723
   0.814070,    2.547618
   0.819095,    2.545524
   0.824121,    2.543442
   0.829146,    2.541375
   0.834171,    2.539323
   0.839196,    2.537289
   0.844221,    2.535274
   0.849246,    2.533281
   0.854271,    2.531313
   0.859296,    2.529373
   0.864322,    2.527465
   0.869347,    2.525594
   0.874372,    2.523766
   0.879397,    2.521986
   0.884422,    2.520265
   0.889447,    2.518610
   0.894472,    2.517036
   0.899497,    2.515556
   0.904523,    2.514192
   0.909548,    2.512969
   0.914573,    2.511918
   0.919598,    2.511083
   0.924623,    2.510523
   0.929648,    2.510317
   0.934673,    2.510574
   0.939698,    2.511455
   0.944724,    2.513192
   0.949749,    2.516143
   0.954774,    2.520871
   0.959799,    2.528317
   0.964824,    2.540139
   0.969849,    2.559503
   0.974874,    2.593080
   0.979899,    2.657060
   0.984925,    2.799950
   0.989950,    3.231331
   0.994975,    6.209924
   1.000000,  -16.213269
