eta, alpha_i
   0.000000,    2.311244
   0.005025,    2.312595
   0.010050,    2.313724
   0.015075,    2.314511
   0.020101,    2.315126
   0.025126,    2.315633
   0.030151,    2.316066
   0.035176,    2.316442
   0.040201,    2.316774
   0.045226,    2.317071
   0.050251,    2.317337
   0.055276,    2.317578
   0.060302,    2.317796
   0.065327,    2.317995
   0.070352,    2.318175
   0.075377,    2.318340
   0.080402,    2.318490
   0.085427,    2.318626
   0.090452,    2.318750
   0.095477,    2.318863
   0.100503,    2.318965
   0.105528,    2.319058
   0.110553,    2.319142
   0.115578,    2.319217
   0.120603,    2.319284
   0.125628,    2.319344
   0.130653,    2.319397
   0.135678,    2.319444
   0.140704,    2.319485
   0.145729,    2.319519
   0.150754,    2.319549
   0.155779,    2.319574
   0.160804,    2.319594
   0.165829,    2.319609
   0.170854,    2.319621
   0.175879,    2.319628
   0.180905,    2.319632
   0.185930,    2.319632
   0.190955,    2.319629
   0.195980,    2.319623
   0.201005,    2.319613
   0.206030,    2.319601
   0.211055,    2.319587
   0.216080,    2.319570
   0.221106,    2.319550
   0.226131,    2.319528
   0.231156,    2.319504
   0.236181,    2.319477
   0.241206,    2.319449
   0.246231,    2.319419
   0.251256,    2.319386
   0.256281,    2.319352
   0.261307,    2.319316
   0.266332,    2.319278
   0.271357,    2.319238
   0.276382,    2.319197
   0.281407,    2.319153
   0.286432,    2.319108
   0.291457,    2.319062
   0.296482,    2.318970
   0.301508,    2.318147
   0.306533,    2.315870
   0.311558,    2.313683
   0.316583,    2.311494
   0.321608,    2.309305
   0.326633,    2.307113
   0.331658,    2.304921
   0.336683,    2.302727
   0.341709,    2.300533
   0.346734,    2.298337
   0.351759,    2.296140
   0.356784,    2.293941
   0.361809,    2.291742
   0.366834,    2.289542
   0.371859,    2.287341
   0.376884,    2.285139
   0.381910,    2.282936
   0.386935,    2.280732
   0.391960,    2.278528
   0.396985,    2.276322
   0.402010,    2.274116
   0.407035,    2.271909
   0.412060,    2.269702
   0.417085,    2.267493
   0.422111,    2.265285
   0.427136,    2.263075
   0.432161,    2.260865
   0.437186,    2.258655
   0.442211,    2.256444
   0.447236,    2.254233
   0.452261,    2.252021
   0.457286,    2.249809
   0.462312,    2.247596
   0.467337,    2.245383
   0.472362,    2.243170
   0.477387,    2.240956
   0.482412,    2.238743
   0.487437,    2.236529
   0.492462,    2.234316
   0.497487,    2.232107
   0.502513,    2.229891
   0.507538,    2.227668
   0.512563,    2.225449
   0.517588,    2.223230
   0.522613,    2.221012
   0.527638,    2.218794
   0.532663,    2.216576
   0.537688,    2.214358
   0.542714,    2.212139
   0.547739,    2.209921
   0.552764,    2.207702
   0.557789,    2.205484
   0.562814,    2.203265
   0.567839,    2.201047
   0.572864,    2.198828
   0.577889,    2.196610
   0.582915,    2.194391
   0.587940,    2.192173
   0.592965,    2.189954
   0.597990,    2.187736
   0.603015,    2.185517
   0.608040,    2.183299
   0.613065,    2.181081
   0.618090,    2.178864
   0.623116,    2.176646
   0.628141,    2.174429
   0.633166,    2.172212
   0.638191,    2.169996
   0.643216,    2.167779
   0.648241,    2.165564
   0.653266,    2.163348
   0.658291,    2.161134
   0.663317,    2.158920
   0.668342,    2.156706
   0.673367,    2.154494
   0.678392,    2.152282
   0.683417,    2.150071
   0.688442,    2.147860
   0.693467,    2.145651
   0.698492,    2.143443
   0.703518,    2.141237
   0.708543,    2.139031
   0.713568,    2.136827
   0.718593,    2.134625
   0.723618,    2.132424
   0.728643,    2.130225
   0.733668,    2.128029
   0.738693,    2.125834
   0.743719,    2.123642
   0.748744,    2.121452
   0.753769,    2.119266
   0.758794,    2.117082
   0.763819,    2.114902
   0.768844,    2.112725
   0.773869,    2.110552
   0.778894,    2.108384
   0.783920,    2.106221
   0.788945,    2.104063
   0.793970,    2.101910
   0.798995,    2.099764
   0.804020,    2.097625
   0.809045,    2.095493
   0.814070,    2.093370
   0.819095,    2.091256
   0.824121,    2.089152
   0.829146,    2.087060
   0.834171,    2.084981
   0.839196,    2.082916
   0.844221,    2.080867
   0.849246,    2.078837
   0.854271,    2.076826
   0.859296,    2.074839
   0.864322,    2.072879
   0.869347,    2.070948
   0.874372,    2.069053
   0.879397,    2.067198
   0.884422,    2.065390
   0.889447,    2.063638
   0.894472,    2.061951
   0.899497,    2.060343
   0.904523,    2.058829
   0.909548,    2.057431
   0.914573,    2.056175
   0.919598,    2.055097
   0.924623,    2.054245
   0.929648,    2.053683
   0.934673,    2.053503
   0.939698,    2.053835
   0.944724,    2.054872
   0.949749,    2.056907
   0.954774,    2.060404
   0.959799,    2.066135
   0.964824,    2.075467
   0.969849,    2.091001
   0.974874,    2.118227
   0.979899,    2.170466
   0.984925,    2.287642
   0.989950,    2.642428
   0.994975,    5.108109
   1.000000,  -13.771376
