eta, alpha_i
   0.000000,    2.613075
   0.005025,    2.614581
   0.010050,    2.615851
   0.015075,    2.616739
   0.020101,    2.617433
   0.025126,    2.618007
   0.030151,    2.618497
   0.035176,    2.618924
   0.040201,    2.619301
   0.045226,    2.619638
   0.050251,    2.619941
   0.055276,    2.620216
   0.060302,    2.620465
   0.065327,    2.620691
   0.070352,    2.620898
   0.075377,    2.621086
   0.080402,    2.621258
   0.085427,    2.621415
   0.090452,    2.621558
   0.095477,    2.621689
   0.100503,    2.621807
   0.105528,    2.621915
   0.110553,    2.622012
   0.115578,    2.622100
   0.120603,    2.622179
   0.125628,    2.622250
   0.130653,    2.622313
   0.135678,    2.622369
   0.140704,    2.622417
   0.145729,    2.622460
   0.150754,    2.622497
   0.155779,    2.622527
   0.160804,    2.622553
   0.165829,    2.622574
   0.170854,    2.622590
   0.175879,    2.622601
   0.180905,    2.622608
   0.185930,    2.622612
   0.190955,    2.622611
   0.195980,    2.622607
   0.201005,    2.622600
   0.206030,    2.622589
   0.211055,    2.622576
   0.216080,    2.622560
   0.221106,    2.622541
   0.226131,    2.622519
   0.231156,    2.622494
   0.236181,    2.622468
   0.241206,    2.622439
   0.246231,    2.622407
   0.251256,    2.622374
   0.256281,    2.622338
   0.261307,    2.622301
   0.266332,    2.622261
   0.271357,    2.622219
   0.276382,    2.622175
   0.281407,    2.622129
   0.286432,    2.622081
   0.291457,    2.622031
   0.296482,    2.621931
   0.301508,    2.621071
   0.306533,    2.618746
   0.311558,    2.616562
   0.316583,    2.614377
   0.321608,    2.612190
   0.326633,    2.610001
   0.331658,    2.607812
   0.336683,    2.605621
   0.341709,    2.603428
   0.346734,    2.601234
   0.351759,    2.599039
   0.356784,    2.596843
   0.361809,    2.594645
   0.366834,    2.592447
   0.371859,    2.590247
   0.376884,    2.588046
   0.381910,    2.585844
   0.386935,    2.583641
   0.391960,    2.581438
   0.396985,    2.579233
   0.402010,    2.577028
   0.407035,    2.574821
   0.412060,    2.572614
   0.417085,    2.570406
   0.422111,    2.568198
   0.427136,    2.565989
   0.432161,    2.563779
   0.437186,    2.561569
   0.442211,    2.559358
   0.447236,    2.557146
   0.452261,    2.554934
   0.457286,    2.552722
   0.462312,    2.550509
   0.467337,    2.548295
   0.472362,    2.546082
   0.477387,    2.543868
   0.482412,    2.541654
   0.487437,    2.539440
   0.492462,    2.537227
   0.497487,    2.535017
   0.502513,    2.532801
   0.507538,    2.530576
   0.512563,    2.528355
   0.517588,    2.526136
   0.522613,    2.523916
   0.527638,    2.521697
   0.532663,    2.519478
   0.537688,    2.517258
   0.542714,    2.515039
   0.547739,    2.512819
   0.552764,    2.510599
   0.557789,    2.508379
   0.562814,    2.506160
   0.567839,    2.503940
   0.572864,    2.501720
   0.577889,    2.499500
   0.582915,    2.497280
   0.587940,    2.495060
   0.592965,    2.492840
   0.597990,    2.490621
   0.603015,    2.488401
   0.608040,    2.486182
   0.613065,    2.483962
   0.618090,    2.481743
   0.623116,    2.479524
   0.628141,    2.477306
   0.633166,    2.475088
   0.638191,    2.472870
   0.643216,    2.470653
   0.648241,    2.468436
   0.653266,    2.466220
   0.658291,    2.464004
   0.663317,    2.461789
   0.668342,    2.459575
   0.673367,    2.457362
   0.678392,    2.455149
   0.683417,    2.452937
   0.688442,    2.450727
   0.693467,    2.448518
   0.698492,    2.446310
   0.703518,    2.444103
   0.708543,    2.441898
   0.713568,    2.439694
   0.718593,    2.437493
   0.723618,    2.435293
   0.728643,    2.433095
   0.733668,    2.430900
   0.738693,    2.428707
   0.743719,    2.426517
   0.748744,    2.424330
   0.753769,    2.422146
   0.758794,    2.419966
   0.763819,    2.417789
   0.768844,    2.415617
   0.773869,    2.413449
   0.778894,    2.411286
   0.783920,    2.409129
   0.788945,    2.406977
   0.793970,    2.404833
   0.798995,    2.402695
   0.804020,    2.400565
   0.809045,    2.398444
   0.814070,    2.396333
   0.819095,    2.394232
   0.824121,    2.392143
   0.829146,    2.390068
   0.834171,    2.388007
   0.839196,    2.385962
   0.844221,    2.383936
   0.849246,    2.381930
   0.854271,    2.379948
   0.859296,    2.377992
   0.864322,    2.376067
   0.869347,    2.374176
   0.874372,    2.372325
   0.879397,    2.370520
   0.884422,    2.368770
   0.889447,    2.367083
   0.894472,    2.365471
   0.899497,    2.363949
   0.904523,    2.362535
   0.909548,    2.361253
   0.914573,    2.360134
   0.919598,    2.359218
   0.924623,    2.358561
   0.929648,    2.358236
   0.934673,    2.358348
   0.939698,    2.359046
   0.944724,    2.360551
   0.949749,    2.363197
   0.954774,    2.367515
   0.959799,    2.374391
   0.964824,    2.385385
   0.969849,    2.403476
   0.974874,    2.434942
   0.979899,    2.495019
   0.984925,    2.629364
   0.989950,    3.035310
   0.994975,    5.844555
   1.000000,  -15.426017
