eta, alpha_i
   0.000000,    0.075861
   0.005025,    0.076054
   0.010050,    0.076121
   0.015075,    0.076156
   0.020101,    0.076175
   0.025126,    0.076185
   0.030151,    0.076188
   0.035176,    0.076188
   0.040201,    0.076184
   0.045226,    0.076177
   0.050251,    0.076169
   0.055276,    0.076158
   0.060302,    0.076146
   0.065327,    0.076133
   0.070352,    0.076119
   0.075377,    0.076104
   0.080402,    0.076088
   0.085427,    0.076072
   0.090452,    0.076054
   0.095477,    0.076036
   0.100503,    0.076018
   0.105528,    0.075999
   0.110553,    0.075980
   0.115578,    0.075960
   0.120603,    0.075940
   0.125628,    0.075919
   0.130653,    0.075899
   0.135678,    0.075877
   0.140704,    0.075856
   0.145729,    0.075835
   0.150754,    0.075813
   0.155779,    0.075791
   0.160804,    0.075769
   0.165829,    0.075746
   0.170854,    0.075724
   0.175879,    0.075701
   0.180905,    0.075678
   0.185930,    0.075655
   0.190955,    0.075632
   0.195980,    0.075609
   0.201005,    0.075586
   0.206030,    0.075563
   0.211055,    0.075540
   0.216080,    0.075516
   0.221106,    0.075493
   0.226131,    0.075469
   0.231156,    0.075446
   0.236181,    0.075422
   0.241206,    0.075398
   0.246231,    0.075375
   0.251256,    0.075351
   0.256281,    0.075327
   0.261307,    0.075304
   0.266332,    0.075280
   0.271357,    0.075256
   0.276382,    0.075233
   0.281407,    0.075209
   0.286432,    0.075185
   0.291457,    0.075162
   0.296482,    0.075138
   0.301508,    0.074591
   0.306533,    0.072691
   0.311558,    0.070495
   0.316583,    0.068298
   0.321608,    0.066102
   0.326633,    0.063905
   0.331658,    0.061709
   0.336683,    0.059513
   0.341709,    0.057316
   0.346734,    0.055120
   0.351759,    0.052924
   0.356784,    0.050727
   0.361809,    0.048531
   0.366834,    0.046335
   0.371859,    0.044139
   0.376884,    0.041943
   0.381910,    0.039747
   0.386935,    0.037551
   0.391960,    0.035355
   0.396985,    0.033160
   0.402010,    0.030964
   0.407035,    0.028768
   0.412060,    0.026573
   0.417085,    0.024377
   0.422111,    0.022182
   0.427136,    0.019986
   0.432161,    0.017791
   0.437186,    0.015596
   0.442211,    0.013401
   0.447236,    0.011206
   0.452261,    0.009010
   0.457286,    0.006815
   0.462312,    0.004621
   0.467337,    0.002426
   0.472362,    0.000231
   0.477387,   -0.001964
   0.482412,   -0.004159
   0.487437,   -0.006353
   0.492462,   -0.008548
   0.497487,   -0.010743
   0.502513,   -0.012937
   0.507538,   -0.015131
   0.512563,   -0.017326
   0.517588,   -0.019520
   0.522613,   -0.021714
   0.527638,   -0.023908
   0.532663,   -0.026101
   0.537688,   -0.028295
   0.542714,   -0.030489
   0.547739,   -0.032682
   0.552764,   -0.034876
   0.557789,   -0.037069
   0.562814,   -0.039263
   0.567839,   -0.041456
   0.572864,   -0.043649
   0.577889,   -0.045842
   0.582915,   -0.048035
   0.587940,   -0.050228
   0.592965,   -0.052421
   0.597990,   -0.054614
   0.603015,   -0.056807
   0.608040,   -0.059000
   0.613065,   -0.061192
   0.618090,   -0.063385
   0.623116,   -0.065577
   0.628141,   -0.067770
   0.633166,   -0.069962
   0.638191,   -0.072155
   0.643216,   -0.074347
   0.648241,   -0.076539
   0.653266,   -0.078731
   0.658291,   -0.080923
   0.663317,   -0.083116
   0.668342,   -0.085308
   0.673367,   -0.087500
   0.678392,   -0.089692
   0.683417,   -0.091884
   0.688442,   -0.094076
   0.693467,   -0.096268
   0.698492,   -0.098460
   0.703518,   -0.100652
   0.708543,   -0.102844
   0.713568,   -0.105036
   0.718593,   -0.107228
   0.723618,   -0.109420
   0.728643,   -0.111612
   0.733668,   -0.113804
   0.738693,   -0.115996
   0.743719,   -0.118189
   0.748744,   -0.120381
   0.753769,   -0.122574
   0.758794,   -0.124766
   0.763819,   -0.126959
   0.768844,   -0.129152
   0.773869,   -0.131346
   0.778894,   -0.133539
   0.783920,   -0.135733
   0.788945,   -0.137927
   0.793970,   -0.140121
   0.798995,   -0.142316
   0.804020,   -0.144511
   0.809045,   -0.146707
   0.814070,   -0.148904
   0.819095,   -0.151101
   0.824121,   -0.153298
   0.829146,   -0.155497
   0.834171,   -0.157696
   0.839196,   -0.159896
   0.844221,   -0.162098
   0.849246,   -0.164301
   0.854271,   -0.166505
   0.859296,   -0.168711
   0.864322,   -0.170919
   0.869347,   -0.173130
   0.874372,   -0.175343
   0.879397,   -0.177559
   0.884422,   -0.179779
   0.889447,   -0.182002
   0.894472,   -0.184231
   0.899497,   -0.186466
   0.904523,   -0.188708
   0.909548,   -0.190959
   0.914573,   -0.193221
   0.919598,   -0.195497
   0.924623,   -0.197790
   0.929648,   -0.200105
   0.934673,   -0.202450
   0.939698,   -0.204834
   0.944724,   -0.207272
   0.949749,   -0.209786
   0.954774,   -0.212412
   0.959799,   -0.215209
   0.964824,   -0.218282
   0.969849,   -0.221828
   0.974874,   -0.226268
   0.979899,   -0.232619
   0.984925,   -0.243935
   0.989950,   -0.273446
   0.994975,   -0.466670
   1.000000,    1.065807
