eta, Xcp/c
   0.000000,    0.357661
   0.005025,    0.357476
   0.010050,    0.357092
   0.015075,    0.356713
   0.020101,    0.356338
   0.025126,    0.355968
   0.030151,    0.355602
   0.035176,    0.355242
   0.040201,    0.354886
   0.045226,    0.354536
   0.050251,    0.354191
   0.055276,    0.353850
   0.060302,    0.353515
   0.065327,    0.353184
   0.070352,    0.352858
   0.075377,    0.352537
   0.080402,    0.352221
   0.085427,    0.351910
   0.090452,    0.351603
   0.095477,    0.351300
   0.100503,    0.351002
   0.105528,    0.350709
   0.110553,    0.350419
   0.115578,    0.350134
   0.120603,    0.349854
   0.125628,    0.349577
   0.130653,    0.349304
   0.135678,    0.349035
   0.140704,    0.348770
   0.145729,    0.348509
   0.150754,    0.348251
   0.155779,    0.347997
   0.160804,    0.347747
   0.165829,    0.347500
   0.170854,    0.347257
   0.175879,    0.347016
   0.180905,    0.346779
   0.185930,    0.346546
   0.190955,    0.346315
   0.195980,    0.346088
   0.201005,    0.345863
   0.206030,    0.345641
   0.211055,    0.345423
   0.216080,    0.345207
   0.221106,    0.344993
   0.226131,    0.344783
   0.231156,    0.344575
   0.236181,    0.344369
   0.241206,    0.344166
   0.246231,    0.343966
   0.251256,    0.343767
   0.256281,    0.343571
   0.261307,    0.343377
   0.266332,    0.343185
   0.271357,    0.342996
   0.276382,    0.342808
   0.281407,    0.342622
   0.286432,    0.342437
   0.291457,    0.342254
   0.296482,    0.342077
   0.301508,    0.341910
   0.306533,    0.341744
   0.311558,    0.341591
   0.316583,    0.341440
   0.321608,    0.341291
   0.326633,    0.341144
   0.331658,    0.340999
   0.336683,    0.340857
   0.341709,    0.340716
   0.346734,    0.340577
   0.351759,    0.340441
   0.356784,    0.340306
   0.361809,    0.340174
   0.366834,    0.340044
   0.371859,    0.339916
   0.376884,    0.339789
   0.381910,    0.339665
   0.386935,    0.339543
   0.391960,    0.339423
   0.396985,    0.339305
   0.402010,    0.339189
   0.407035,    0.339075
   0.412060,    0.338963
   0.417085,    0.338853
   0.422111,    0.338745
   0.427136,    0.338639
   0.432161,    0.338535
   0.437186,    0.338433
   0.442211,    0.338333
   0.447236,    0.338235
   0.452261,    0.338139
   0.457286,    0.338045
   0.462312,    0.337952
   0.467337,    0.337862
   0.472362,    0.337774
   0.477387,    0.337688
   0.482412,    0.337604
   0.487437,    0.337521
   0.492462,    0.337441
   0.497487,    0.337363
   0.502513,    0.337287
   0.507538,    0.337213
   0.512563,    0.337141
   0.517588,    0.337071
   0.522613,    0.337004
   0.527638,    0.336938
   0.532663,    0.336875
   0.537688,    0.336814
   0.542714,    0.336755
   0.547739,    0.336698
   0.552764,    0.336644
   0.557789,    0.336592
   0.562814,    0.336543
   0.567839,    0.336496
   0.572864,    0.336451
   0.577889,    0.336409
   0.582915,    0.336369
   0.587940,    0.336333
   0.592965,    0.336298
   0.597990,    0.336267
   0.603015,    0.336238
   0.608040,    0.336213
   0.613065,    0.336190
   0.618090,    0.336170
   0.623116,    0.336154
   0.628141,    0.336141
   0.633166,    0.336131
   0.638191,    0.336124
   0.643216,    0.336121
   0.648241,    0.336122
   0.653266,    0.336127
   0.658291,    0.336135
   0.663317,    0.336148
   0.668342,    0.336165
   0.673367,    0.336186
   0.678392,    0.336212
   0.683417,    0.336243
   0.688442,    0.336278
   0.693467,    0.336319
   0.698492,    0.336365
   0.703518,    0.336417
   0.708543,    0.336475
   0.713568,    0.336539
   0.718593,    0.336610
   0.723618,    0.336687
   0.728643,    0.336772
   0.733668,    0.336864
   0.738693,    0.336964
   0.743719,    0.337073
   0.748744,    0.337190
   0.753769,    0.337317
   0.758794,    0.337454
   0.763819,    0.337601
   0.768844,    0.337760
   0.773869,    0.337930
   0.778894,    0.338113
   0.783920,    0.338309
   0.788945,    0.338520
   0.793970,    0.338746
   0.798995,    0.338989
   0.804020,    0.339249
   0.809045,    0.339528
   0.814070,    0.339827
   0.819095,    0.340149
   0.824121,    0.340494
   0.829146,    0.340865
   0.834171,    0.341263
   0.839196,    0.341692
   0.844221,    0.342154
   0.849246,    0.342652
   0.854271,    0.343189
   0.859296,    0.343770
   0.864322,    0.344398
   0.869347,    0.345079
   0.874372,    0.345818
   0.879397,    0.346623
   0.884422,    0.347500
   0.889447,    0.348458
   0.894472,    0.349509
   0.899497,    0.350663
   0.904523,    0.351936
   0.909548,    0.353344
   0.914573,    0.354910
   0.919598,    0.356657
   0.924623,    0.358618
   0.929648,    0.360989
   0.934673,    0.364491
   0.939698,    0.368545
   0.944724,    0.372994
   0.949749,    0.378005
   0.954774,    0.383858
   0.959799,    0.390424
   0.964824,    0.398259
   0.969849,    0.409439
   0.974874,    0.423514
   0.979899,    0.441977
   0.984925,    0.466289
   0.989950,    0.505051
   0.994975,    0.583169
   1.000000,    0.000000
