eta, Xcp/c
   0.000000,    0.345770
   0.005025,    0.345606
   0.010050,    0.345264
   0.015075,    0.344927
   0.020101,    0.344593
   0.025126,    0.344264
   0.030151,    0.343938
   0.035176,    0.343618
   0.040201,    0.343301
   0.045226,    0.342989
   0.050251,    0.342682
   0.055276,    0.342379
   0.060302,    0.342080
   0.065327,    0.341786
   0.070352,    0.341496
   0.075377,    0.341210
   0.080402,    0.340928
   0.085427,    0.340651
   0.090452,    0.340377
   0.095477,    0.340108
   0.100503,    0.339842
   0.105528,    0.339581
   0.110553,    0.339323
   0.115578,    0.339069
   0.120603,    0.338818
   0.125628,    0.338572
   0.130653,    0.338328
   0.135678,    0.338089
   0.140704,    0.337852
   0.145729,    0.337619
   0.150754,    0.337389
   0.155779,    0.337163
   0.160804,    0.336939
   0.165829,    0.336719
   0.170854,    0.336501
   0.175879,    0.336287
   0.180905,    0.336075
   0.185930,    0.335866
   0.190955,    0.335660
   0.195980,    0.335457
   0.201005,    0.335256
   0.206030,    0.335058
   0.211055,    0.334862
   0.216080,    0.334669
   0.221106,    0.334478
   0.226131,    0.334290
   0.231156,    0.334103
   0.236181,    0.333919
   0.241206,    0.333737
   0.246231,    0.333557
   0.251256,    0.333379
   0.256281,    0.333203
   0.261307,    0.333029
   0.266332,    0.332857
   0.271357,    0.332686
   0.276382,    0.332517
   0.281407,    0.332349
   0.286432,    0.332183
   0.291457,    0.332018
   0.296482,    0.331859
   0.301508,    0.331708
   0.306533,    0.331557
   0.311558,    0.331418
   0.316583,    0.331281
   0.321608,    0.331145
   0.326633,    0.331011
   0.331658,    0.330879
   0.336683,    0.330749
   0.341709,    0.330620
   0.346734,    0.330493
   0.351759,    0.330368
   0.356784,    0.330245
   0.361809,    0.330123
   0.366834,    0.330004
   0.371859,    0.329886
   0.376884,    0.329770
   0.381910,    0.329655
   0.386935,    0.329542
   0.391960,    0.329432
   0.396985,    0.329322
   0.402010,    0.329215
   0.407035,    0.329109
   0.412060,    0.329005
   0.417085,    0.328903
   0.422111,    0.328803
   0.427136,    0.328704
   0.432161,    0.328607
   0.437186,    0.328512
   0.442211,    0.328418
   0.447236,    0.328326
   0.452261,    0.328236
   0.457286,    0.328147
   0.462312,    0.328061
   0.467337,    0.327976
   0.472362,    0.327893
   0.477387,    0.327811
   0.482412,    0.327731
   0.487437,    0.327653
   0.492462,    0.327577
   0.497487,    0.327503
   0.502513,    0.327430
   0.507538,    0.327359
   0.512563,    0.327290
   0.517588,    0.327223
   0.522613,    0.327158
   0.527638,    0.327095
   0.532663,    0.327033
   0.537688,    0.326974
   0.542714,    0.326916
   0.547739,    0.326860
   0.552764,    0.326807
   0.557789,    0.326755
   0.562814,    0.326706
   0.567839,    0.326659
   0.572864,    0.326614
   0.577889,    0.326571
   0.582915,    0.326530
   0.587940,    0.326492
   0.592965,    0.326456
   0.597990,    0.326422
   0.603015,    0.326391
   0.608040,    0.326363
   0.613065,    0.326337
   0.618090,    0.326314
   0.623116,    0.326294
   0.628141,    0.326276
   0.633166,    0.326262
   0.638191,    0.326250
   0.643216,    0.326242
   0.648241,    0.326236
   0.653266,    0.326235
   0.658291,    0.326236
   0.663317,    0.326241
   0.668342,    0.326250
   0.673367,    0.326263
   0.678392,    0.326280
   0.683417,    0.326301
   0.688442,    0.326327
   0.693467,    0.326357
   0.698492,    0.326392
   0.703518,    0.326432
   0.708543,    0.326477
   0.713568,    0.326527
   0.718593,    0.326583
   0.723618,    0.326646
   0.728643,    0.326714
   0.733668,    0.326790
   0.738693,    0.326872
   0.743719,    0.326961
   0.748744,    0.327059
   0.753769,    0.327165
   0.758794,    0.327279
   0.763819,    0.327403
   0.768844,    0.327537
   0.773869,    0.327681
   0.778894,    0.327836
   0.783920,    0.328003
   0.788945,    0.328183
   0.793970,    0.328376
   0.798995,    0.328583
   0.804020,    0.328807
   0.809045,    0.329046
   0.814070,    0.329304
   0.819095,    0.329581
   0.824121,    0.329879
   0.829146,    0.330200
   0.834171,    0.330545
   0.839196,    0.330917
   0.844221,    0.331317
   0.849246,    0.331750
   0.854271,    0.332217
   0.859296,    0.332722
   0.864322,    0.333269
   0.869347,    0.333863
   0.874372,    0.334508
   0.879397,    0.335210
   0.884422,    0.335977
   0.889447,    0.336815
   0.894472,    0.337733
   0.899497,    0.338744
   0.904523,    0.339858
   0.909548,    0.341093
   0.914573,    0.342465
   0.919598,    0.343997
   0.924623,    0.345717
   0.929648,    0.347660
   0.934673,    0.349868
   0.939698,    0.352398
   0.944724,    0.355323
   0.949749,    0.358741
   0.954774,    0.363878
   0.959799,    0.370640
   0.964824,    0.378433
   0.969849,    0.387698
   0.974874,    0.399006
   0.979899,    0.416584
   0.984925,    0.440387
   0.989950,    0.475612
   0.994975,    0.546501
   1.000000,    0.000000
