eta, Xcp/c
   0.000000,    0.364787
   0.005025,    0.364590
   0.010050,    0.364181
   0.015075,    0.363776
   0.020101,    0.363376
   0.025126,    0.362982
   0.030151,    0.362592
   0.035176,    0.362208
   0.040201,    0.361829
   0.045226,    0.361456
   0.050251,    0.361088
   0.055276,    0.360725
   0.060302,    0.360367
   0.065327,    0.360015
   0.070352,    0.359668
   0.075377,    0.359326
   0.080402,    0.358989
   0.085427,    0.358657
   0.090452,    0.358330
   0.095477,    0.358008
   0.100503,    0.357691
   0.105528,    0.357378
   0.110553,    0.357070
   0.115578,    0.356767
   0.120603,    0.356467
   0.125628,    0.356173
   0.130653,    0.355882
   0.135678,    0.355596
   0.140704,    0.355314
   0.145729,    0.355036
   0.150754,    0.354762
   0.155779,    0.354492
   0.160804,    0.354225
   0.165829,    0.353963
   0.170854,    0.353703
   0.175879,    0.353448
   0.180905,    0.353196
   0.185930,    0.352948
   0.190955,    0.352702
   0.195980,    0.352460
   0.201005,    0.352222
   0.206030,    0.351986
   0.211055,    0.351754
   0.216080,    0.351524
   0.221106,    0.351298
   0.226131,    0.351074
   0.231156,    0.350853
   0.236181,    0.350635
   0.241206,    0.350420
   0.246231,    0.350207
   0.251256,    0.349996
   0.256281,    0.349789
   0.261307,    0.349583
   0.266332,    0.349380
   0.271357,    0.349179
   0.276382,    0.348980
   0.281407,    0.348782
   0.286432,    0.348587
   0.291457,    0.348394
   0.296482,    0.348207
   0.301508,    0.348031
   0.306533,    0.347855
   0.311558,    0.347694
   0.316583,    0.347536
   0.321608,    0.347379
   0.326633,    0.347225
   0.331658,    0.347073
   0.336683,    0.346923
   0.341709,    0.346775
   0.346734,    0.346630
   0.351759,    0.346487
   0.356784,    0.346347
   0.361809,    0.346208
   0.366834,    0.346072
   0.371859,    0.345938
   0.376884,    0.345807
   0.381910,    0.345677
   0.386935,    0.345550
   0.391960,    0.345425
   0.396985,    0.345302
   0.402010,    0.345182
   0.407035,    0.345063
   0.412060,    0.344947
   0.417085,    0.344833
   0.422111,    0.344721
   0.427136,    0.344611
   0.432161,    0.344503
   0.437186,    0.344398
   0.442211,    0.344294
   0.447236,    0.344193
   0.452261,    0.344094
   0.457286,    0.343997
   0.462312,    0.343902
   0.467337,    0.343809
   0.472362,    0.343718
   0.477387,    0.343630
   0.482412,    0.343544
   0.487437,    0.343460
   0.492462,    0.343378
   0.497487,    0.343298
   0.502513,    0.343221
   0.507538,    0.343145
   0.512563,    0.343072
   0.517588,    0.343002
   0.522613,    0.342933
   0.527638,    0.342867
   0.532663,    0.342803
   0.537688,    0.342742
   0.542714,    0.342683
   0.547739,    0.342626
   0.552764,    0.342572
   0.557789,    0.342521
   0.562814,    0.342472
   0.567839,    0.342426
   0.572864,    0.342382
   0.577889,    0.342341
   0.582915,    0.342303
   0.587940,    0.342268
   0.592965,    0.342235
   0.597990,    0.342206
   0.603015,    0.342179
   0.608040,    0.342156
   0.613065,    0.342136
   0.618090,    0.342119
   0.623116,    0.342106
   0.628141,    0.342096
   0.633166,    0.342089
   0.638191,    0.342087
   0.643216,    0.342088
   0.648241,    0.342093
   0.653266,    0.342102
   0.658291,    0.342116
   0.663317,    0.342134
   0.668342,    0.342156
   0.673367,    0.342183
   0.678392,    0.342215
   0.683417,    0.342252
   0.688442,    0.342295
   0.693467,    0.342343
   0.698492,    0.342397
   0.703518,    0.342457
   0.708543,    0.342524
   0.713568,    0.342597
   0.718593,    0.342677
   0.723618,    0.342764
   0.728643,    0.342859
   0.733668,    0.342962
   0.738693,    0.343074
   0.743719,    0.343195
   0.748744,    0.343325
   0.753769,    0.343466
   0.758794,    0.343617
   0.763819,    0.343779
   0.768844,    0.343953
   0.773869,    0.344141
   0.778894,    0.344341
   0.783920,    0.344556
   0.788945,    0.344787
   0.793970,    0.345034
   0.798995,    0.345298
   0.804020,    0.345582
   0.809045,    0.345885
   0.814070,    0.346211
   0.819095,    0.346560
   0.824121,    0.346935
   0.829146,    0.347337
   0.834171,    0.347769
   0.839196,    0.348233
   0.844221,    0.348733
   0.849246,    0.349271
   0.854271,    0.349852
   0.859296,    0.350479
   0.864322,    0.351158
   0.869347,    0.351893
   0.874372,    0.352690
   0.879397,    0.353558
   0.884422,    0.354503
   0.889447,    0.355536
   0.894472,    0.356667
   0.899497,    0.357910
   0.904523,    0.359280
   0.909548,    0.360817
   0.914573,    0.363147
   0.919598,    0.365765
   0.924623,    0.368724
   0.929648,    0.371897
   0.934673,    0.375398
   0.939698,    0.379420
   0.944724,    0.383937
   0.949749,    0.388917
   0.954774,    0.394631
   0.959799,    0.401640
   0.964824,    0.411551
   0.969849,    0.423064
   0.974874,    0.437643
   0.979899,    0.456054
   0.984925,    0.481724
   0.989950,    0.522700
   0.994975,    0.605051
   1.000000,    0.000000
