eta, Xcp/c
   0.000000,    0.396137
   0.005025,    0.395828
   0.010050,    0.395236
   0.015075,    0.394651
   0.020101,    0.394074
   0.025126,    0.393504
   0.030151,    0.392942
   0.035176,    0.392387
   0.040201,    0.391841
   0.045226,    0.391302
   0.050251,    0.390771
   0.055276,    0.390248
   0.060302,    0.389732
   0.065327,    0.389224
   0.070352,    0.388721
   0.075377,    0.388222
   0.080402,    0.387727
   0.085427,    0.387236
   0.090452,    0.386749
   0.095477,    0.386267
   0.100503,    0.385788
   0.105528,    0.385314
   0.110553,    0.384843
   0.115578,    0.384408
   0.120603,    0.383998
   0.125628,    0.383594
   0.130653,    0.383197
   0.135678,    0.382806
   0.140704,    0.382422
   0.145729,    0.382044
   0.150754,    0.381672
   0.155779,    0.381306
   0.160804,    0.380945
   0.165829,    0.380569
   0.170854,    0.380191
   0.175879,    0.379821
   0.180905,    0.379461
   0.185930,    0.379109
   0.190955,    0.378766
   0.195980,    0.378431
   0.201005,    0.378104
   0.206030,    0.377785
   0.211055,    0.377474
   0.216080,    0.377171
   0.221106,    0.376848
   0.226131,    0.376528
   0.231156,    0.376214
   0.236181,    0.375907
   0.241206,    0.375607
   0.246231,    0.375313
   0.251256,    0.375026
   0.256281,    0.374745
   0.261307,    0.374471
   0.266332,    0.374202
   0.271357,    0.373940
   0.276382,    0.373683
   0.281407,    0.373434
   0.286432,    0.373190
   0.291457,    0.372949
   0.296482,    0.372718
   0.301508,    0.372505
   0.306533,    0.372301
   0.311558,    0.372115
   0.316583,    0.371932
   0.321608,    0.371751
   0.326633,    0.371573
   0.331658,    0.371397
   0.336683,    0.371225
   0.341709,    0.371055
   0.346734,    0.370887
   0.351759,    0.370723
   0.356784,    0.370561
   0.361809,    0.370402
   0.366834,    0.370245
   0.371859,    0.370092
   0.376884,    0.369941
   0.381910,    0.369793
   0.386935,    0.369647
   0.391960,    0.369504
   0.396985,    0.369364
   0.402010,    0.369227
   0.407035,    0.369093
   0.412060,    0.368961
   0.417085,    0.368832
   0.422111,    0.368706
   0.427136,    0.368582
   0.432161,    0.368462
   0.437186,    0.368344
   0.442211,    0.368231
   0.447236,    0.368121
   0.452261,    0.368014
   0.457286,    0.367910
   0.462312,    0.367809
   0.467337,    0.367711
   0.472362,    0.367615
   0.477387,    0.367522
   0.482412,    0.367432
   0.487437,    0.367345
   0.492462,    0.367261
   0.497487,    0.367180
   0.502513,    0.367101
   0.507538,    0.367026
   0.512563,    0.366953
   0.517588,    0.366884
   0.522613,    0.366817
   0.527638,    0.366753
   0.532663,    0.366693
   0.537688,    0.366635
   0.542714,    0.366581
   0.547739,    0.366530
   0.552764,    0.366483
   0.557789,    0.366443
   0.562814,    0.366408
   0.567839,    0.366377
   0.572864,    0.366350
   0.577889,    0.366327
   0.582915,    0.366309
   0.587940,    0.366295
   0.592965,    0.366286
   0.597990,    0.366282
   0.603015,    0.366283
   0.608040,    0.366289
   0.613065,    0.366301
   0.618090,    0.366318
   0.623116,    0.366340
   0.628141,    0.366369
   0.633166,    0.366403
   0.638191,    0.366444
   0.643216,    0.366491
   0.648241,    0.366545
   0.653266,    0.366606
   0.658291,    0.366674
   0.663317,    0.366750
   0.668342,    0.366834
   0.673367,    0.366926
   0.678392,    0.367026
   0.683417,    0.367135
   0.688442,    0.367254
   0.693467,    0.367383
   0.698492,    0.367521
   0.703518,    0.367671
   0.708543,    0.367832
   0.713568,    0.368005
   0.718593,    0.368191
   0.723618,    0.368391
   0.728643,    0.368604
   0.733668,    0.368831
   0.738693,    0.369074
   0.743719,    0.369333
   0.748744,    0.369609
   0.753769,    0.369903
   0.758794,    0.370217
   0.763819,    0.370551
   0.768844,    0.370900
   0.773869,    0.371249
   0.778894,    0.371622
   0.783920,    0.372020
   0.788945,    0.372444
   0.793970,    0.372897
   0.798995,    0.373380
   0.804020,    0.373896
   0.809045,    0.374444
   0.814070,    0.375012
   0.819095,    0.375619
   0.824121,    0.376268
   0.829146,    0.376963
   0.834171,    0.377707
   0.839196,    0.378528
   0.844221,    0.379439
   0.849246,    0.380415
   0.854271,    0.381461
   0.859296,    0.382584
   0.864322,    0.383690
   0.869347,    0.384881
   0.874372,    0.386170
   0.879397,    0.387550
   0.884422,    0.389022
   0.889447,    0.390625
   0.894472,    0.392363
   0.899497,    0.394249
   0.904523,    0.396320
   0.909548,    0.398656
   0.914573,    0.401246
   0.919598,    0.404502
   0.924623,    0.408224
   0.929648,    0.412351
   0.934673,    0.416868
   0.939698,    0.421761
   0.944724,    0.427410
   0.949749,    0.434005
   0.954774,    0.441745
   0.959799,    0.450446
   0.964824,    0.460595
   0.969849,    0.473334
   0.974874,    0.489741
   0.979899,    0.511524
   0.984925,    0.543220
   0.989950,    0.592801
   0.994975,    0.695778
   1.000000,    0.000000
