eta, Xcp/c
   0.000000,    0.373506
   0.005025,    0.373213
   0.010050,    0.372666
   0.015075,    0.372168
   0.020101,    0.371679
   0.025126,    0.371198
   0.030151,    0.370725
   0.035176,    0.370260
   0.040201,    0.369804
   0.045226,    0.369371
   0.050251,    0.368975
   0.055276,    0.368584
   0.060302,    0.368199
   0.065327,    0.367820
   0.070352,    0.367447
   0.075377,    0.367079
   0.080402,    0.366717
   0.085427,    0.366362
   0.090452,    0.366012
   0.095477,    0.365667
   0.100503,    0.365328
   0.105528,    0.364994
   0.110553,    0.364664
   0.115578,    0.364339
   0.120603,    0.364020
   0.125628,    0.363705
   0.130653,    0.363394
   0.135678,    0.363088
   0.140704,    0.362787
   0.145729,    0.362489
   0.150754,    0.362197
   0.155779,    0.361908
   0.160804,    0.361623
   0.165829,    0.361343
   0.170854,    0.361066
   0.175879,    0.360793
   0.180905,    0.360524
   0.185930,    0.360259
   0.190955,    0.359997
   0.195980,    0.359739
   0.201005,    0.359484
   0.206030,    0.359233
   0.211055,    0.358985
   0.216080,    0.358740
   0.221106,    0.358498
   0.226131,    0.358260
   0.231156,    0.358025
   0.236181,    0.357792
   0.241206,    0.357563
   0.246231,    0.357336
   0.251256,    0.357112
   0.256281,    0.356891
   0.261307,    0.356672
   0.266332,    0.356456
   0.271357,    0.356242
   0.276382,    0.356031
   0.281407,    0.355821
   0.286432,    0.355614
   0.291457,    0.355409
   0.296482,    0.355211
   0.301508,    0.355024
   0.306533,    0.354839
   0.311558,    0.354669
   0.316583,    0.354502
   0.321608,    0.354337
   0.326633,    0.354174
   0.331658,    0.354015
   0.336683,    0.353857
   0.341709,    0.353702
   0.346734,    0.353550
   0.351759,    0.353400
   0.356784,    0.353253
   0.361809,    0.353108
   0.366834,    0.352966
   0.371859,    0.352826
   0.376884,    0.352688
   0.381910,    0.352553
   0.386935,    0.352421
   0.391960,    0.352290
   0.396985,    0.352163
   0.402010,    0.352037
   0.407035,    0.351914
   0.412060,    0.351793
   0.417085,    0.351675
   0.422111,    0.351559
   0.427136,    0.351445
   0.432161,    0.351334
   0.437186,    0.351225
   0.442211,    0.351118
   0.447236,    0.351014
   0.452261,    0.350912
   0.457286,    0.350812
   0.462312,    0.350715
   0.467337,    0.350619
   0.472362,    0.350527
   0.477387,    0.350436
   0.482412,    0.350348
   0.487437,    0.350263
   0.492462,    0.350179
   0.497487,    0.350098
   0.502513,    0.350020
   0.507538,    0.349944
   0.512563,    0.349870
   0.517588,    0.349799
   0.522613,    0.349730
   0.527638,    0.349664
   0.532663,    0.349600
   0.537688,    0.349539
   0.542714,    0.349481
   0.547739,    0.349425
   0.552764,    0.349372
   0.557789,    0.349321
   0.562814,    0.349274
   0.567839,    0.349229
   0.572864,    0.349187
   0.577889,    0.349148
   0.582915,    0.349112
   0.587940,    0.349079
   0.592965,    0.349049
   0.597990,    0.349023
   0.603015,    0.348999
   0.608040,    0.348979
   0.613065,    0.348963
   0.618090,    0.348950
   0.623116,    0.348941
   0.628141,    0.348935
   0.633166,    0.348934
   0.638191,    0.348936
   0.643216,    0.348943
   0.648241,    0.348953
   0.653266,    0.348969
   0.658291,    0.348989
   0.663317,    0.349013
   0.668342,    0.349043
   0.673367,    0.349077
   0.678392,    0.349117
   0.683417,    0.349163
   0.688442,    0.349214
   0.693467,    0.349271
   0.698492,    0.349334
   0.703518,    0.349405
   0.708543,    0.349482
   0.713568,    0.349566
   0.718593,    0.349657
   0.723618,    0.349757
   0.728643,    0.349865
   0.733668,    0.349982
   0.738693,    0.350108
   0.743719,    0.350243
   0.748744,    0.350389
   0.753769,    0.350546
   0.758794,    0.350714
   0.763819,    0.350895
   0.768844,    0.351088
   0.773869,    0.351295
   0.778894,    0.351517
   0.783920,    0.351754
   0.788945,    0.352008
   0.793970,    0.352280
   0.798995,    0.352570
   0.804020,    0.352881
   0.809045,    0.353214
   0.814070,    0.353571
   0.819095,    0.353953
   0.824121,    0.354362
   0.829146,    0.354801
   0.834171,    0.355273
   0.839196,    0.355779
   0.844221,    0.356323
   0.849246,    0.356910
   0.854271,    0.357541
   0.859296,    0.358223
   0.864322,    0.358960
   0.869347,    0.359758
   0.874372,    0.360624
   0.879397,    0.361683
   0.884422,    0.363092
   0.889447,    0.364636
   0.894472,    0.366342
   0.899497,    0.368223
   0.904523,    0.370232
   0.909548,    0.372410
   0.914573,    0.374764
   0.919598,    0.377364
   0.924623,    0.380371
   0.929648,    0.383617
   0.934673,    0.387143
   0.939698,    0.391075
   0.944724,    0.395515
   0.949749,    0.400813
   0.954774,    0.408034
   0.959799,    0.416509
   0.964824,    0.426136
   0.969849,    0.438234
   0.974874,    0.452934
   0.979899,    0.471885
   0.984925,    0.499184
   0.989950,    0.543115
   0.994975,    0.630378
   1.000000,    0.000000
