eta, CL
   0.000000,    0.404184
   0.020408,    0.407274
   0.040816,    0.413117
   0.061224,    0.418586
   0.081633,    0.423742
   0.102041,    0.428622
   0.122449,    0.433250
   0.142857,    0.437646
   0.163265,    0.441822
   0.183673,    0.445786
   0.204082,    0.449542
   0.224490,    0.453089
   0.244898,    0.456425
   0.265306,    0.459538
   0.285714,    0.462257
   0.306122,    0.463667
   0.326531,    0.462873
   0.346939,    0.461309
   0.367347,    0.459378
   0.387755,    0.457110
   0.408163,    0.454526
   0.428571,    0.451644
   0.448980,    0.448477
   0.469388,    0.445034
   0.489796,    0.441323
   0.510204,    0.437348
   0.530612,    0.433109
   0.551020,    0.428611
   0.571429,    0.423850
   0.591837,    0.418821
   0.612245,    0.413514
   0.632653,    0.407918
   0.653061,    0.402013
   0.673469,    0.395777
   0.693878,    0.389179
   0.714286,    0.382181
   0.734694,    0.374730
   0.755102,    0.366762
   0.775510,    0.358189
   0.795918,    0.348898
   0.816327,    0.338738
   0.836735,    0.327502
   0.857143,    0.314903
   0.877551,    0.300535
   0.897959,    0.283795
   0.918367,    0.263747
   0.938776,    0.238837
   0.959184,    0.206162
   0.979592,    0.158914
   1.000000,    0.000000
