Ground Roll distance, Load Factor
 342.412694,    1.053028
 350.625849,    1.047473
 407.598816,    1.009518
 418.868028,    1.002130
 430.095961,    0.994808
 441.282832,    0.987551
 452.428858,    0.980358
 454.746301,    0.978868
 454.788675,    0.978840
 454.816897,    0.978822
 454.825170,    0.978817
 454.832773,    0.978811
 454.908806,    0.978756
 455.669018,    0.978204
 463.259236,    0.972616
 507.196242,    0.937228
 550.712801,    0.896379
 591.731466,    0.851568
 603.808237,    0.837039
 616.579139,    0.820944
 651.866253,    0.772184
 685.694542,    0.718700
 716.876647,    0.662496
 745.383185,    0.604282
 771.267157,    0.544779
 794.610009,    0.484770
 815.515394,    0.425071
 834.103406,    0.366502
 850.504030,    0.309863
 853.973843,    0.297216
 856.171137,    0.289079
 857.375839,    0.284575
 858.533997,    0.280216
 869.613013,    0.237075
 873.356736,    0.221874
 875.674542,    0.212296
 876.516614,    0.208784
 877.422374,    0.204986
 886.014040,    0.167901
 889.691001,    0.151409
 894.418289,    0.129618
 894.935674,    0.127191
 895.310886,    0.125426
 895.646352,    0.123844
 898.883049,    0.108405
 906.679831,    0.069821
 912.849060,    0.037727
 913.548974,    0.033986
 913.854065,    0.032349
 913.980686,    0.031668
 914.181524,    0.030587
 915.996756,    0.020715
 919.031084,    0.003754
 919.346416,    0.001947
 919.498588,    0.001070
 919.598393,    0.000493
 919.657214,    0.000152
 919.681742,    0.000009
 919.683263,    0.000001
 919.683351,    0.000000
 919.683354,    0.000000
