eta, gamma
   0.000000,   54.890189
   0.020408,   54.880352
   0.040816,   54.850269
   0.061224,   54.799180
   0.081633,   54.726741
   0.102041,   54.632728
   0.122449,   54.516974
   0.142857,   54.379337
   0.163265,   54.219691
   0.183673,   54.037907
   0.204082,   53.833847
   0.224490,   53.607355
   0.244898,   53.358249
   0.265306,   53.086313
   0.285714,   52.791291
   0.306122,   52.472880
   0.326531,   52.130722
   0.346939,   51.764398
   0.367347,   51.373418
   0.387755,   50.957215
   0.408163,   50.515133
   0.428571,   50.046419
   0.448980,   49.550208
   0.469388,   49.025513
   0.489796,   48.471205
   0.510204,   47.885680
   0.530612,   47.267424
   0.551020,   46.615056
   0.571429,   45.926649
   0.591837,   45.200005
   0.612245,   44.432600
   0.632653,   43.621534
   0.653061,   42.763460
   0.673469,   41.854496
   0.693878,   40.890119
   0.714286,   39.865021
   0.734694,   38.772927
   0.755102,   37.606344
   0.775510,   36.356231
   0.795918,   35.011527
   0.816327,   33.558478
   0.836735,   31.979624
   0.857143,   30.252225
   0.877551,   28.345671
   0.897959,   26.216905
   0.918367,   23.801616
   0.938776,   20.995007
   0.959184,   17.601122
   0.979592,   13.146680
   1.000000,    0.000000
