eta, gamma
   0.000000,  274.450945
   0.020408,  274.401762
   0.040816,  274.251346
   0.061224,  273.995898
   0.081633,  273.633704
   0.102041,  273.163641
   0.122449,  272.584868
   0.142857,  271.896685
   0.163265,  271.098453
   0.183673,  270.189533
   0.204082,  269.169234
   0.224490,  268.036775
   0.244898,  266.791244
   0.265306,  265.431564
   0.285714,  263.956455
   0.306122,  262.364400
   0.326531,  260.653611
   0.346939,  258.821990
   0.367347,  256.867091
   0.387755,  254.786076
   0.408163,  252.575667
   0.428571,  250.232096
   0.448980,  247.751042
   0.469388,  245.127564
   0.489796,  242.356024
   0.510204,  239.428401
   0.530612,  236.337122
   0.551020,  233.075278
   0.571429,  229.633247
   0.591837,  226.000026
   0.612245,  222.163002
   0.632653,  218.107671
   0.653061,  213.817298
   0.673469,  209.272479
   0.693878,  204.450595
   0.714286,  199.325107
   0.734694,  193.864634
   0.755102,  188.031718
   0.775510,  181.781153
   0.795918,  175.057636
   0.816327,  167.792390
   0.836735,  159.898118
   0.857143,  151.261126
   0.877551,  141.728354
   0.897959,  131.084523
   0.918367,  119.008078
   0.938776,  104.975036
   0.959184,   88.005608
   0.979592,   65.733399
   1.000000,    0.000000
