CLe, Static Stability Margin
  -0.391844,   -0.146862
  -0.312264,   -0.141834
  -0.232443,   -0.131746
  -0.152384,   -0.124153
  -0.072088,   -0.111282
   0.008444,   -0.098249
   0.089210,   -0.092899
   0.170211,   -0.087441
   0.251445,   -0.052819
   0.333993,   -0.074967
   0.414668,   -0.125694
   0.495578,   -0.118991
   0.576724,   -0.111823
   0.658108,   -0.104276
   0.739730,   -0.096786
   0.821593,   -0.088791
   0.903696,   -0.079779
   0.986044,   -0.070175
   1.068636,   -0.060088
   1.151475,   -0.049410
   1.234562,   -0.037949
   1.317902,   -0.025845
   1.401495,   -0.017516
   1.482959,   -0.027394
   1.552796,   -0.073256
   1.604026,   -0.197969
   1.634648,   -0.613934
   1.647702,   -2.461506
   1.651244,   -2.934969
