CLe, Static Stability Margin
  -0.366794,   -0.224771
  -0.288853,   -0.227673
  -0.210918,   -0.233265
  -0.132988,   -0.241147
  -0.055060,   -0.243123
   0.022867,   -0.244635
   0.100797,   -0.254036
   0.178730,   -0.263173
   0.256670,   -0.240431
   0.335659,   -0.279593
   0.412625,   -0.349940
   0.489605,   -0.357641
   0.566600,   -0.364783
   0.643614,   -0.371460
   0.720647,   -0.378140
   0.797703,   -0.384249
   0.874784,   -0.389259
   0.951892,   -0.393597
   1.029030,   -0.397401
   1.106199,   -0.400582
   1.183402,   -0.402936
