alpha, CL
  -4.000000,   -0.046470
  -3.517241,    0.007114
  -3.034483,    0.060699
  -2.551724,    0.114284
  -2.068966,    0.167869
  -1.586207,    0.221454
  -1.103448,    0.275039
  -0.620690,    0.328623
  -0.137931,    0.382208
   0.344828,    0.435793
   0.827586,    0.489378
   1.310345,    0.542963
   1.793103,    0.596548
   2.275862,    0.650132
   2.758621,    0.703717
   3.241379,    0.757302
   3.724138,    0.810887
   4.206897,    0.864472
   4.689655,    0.918057
   5.172414,    0.971642
   5.655172,    1.025226
   6.137931,    1.078811
   6.620690,    1.132396
   7.103448,    1.185981
   7.586207,    1.239566
   8.068966,    1.292394
   8.551724,    1.272451
   9.034483,    1.290382
   9.517241,    2.150298
  10.000000,    5.398752
