CLe, Neutral Point
  -0.119284,    0.260505
  -0.031054,    0.243791
   0.057325,    0.223746
   0.145852,    0.217090
   0.234526,    0.208106
   0.323473,    0.201711
   0.412431,    0.197710
   0.501536,    0.191241
   0.590787,    0.184863
   0.680185,    0.178565
   0.769731,    0.176036
   0.859426,    0.181538
   0.949268,    0.185530
   1.039259,    0.183780
   1.129400,    0.183461
   1.217773,    0.197725
   1.289894,    0.272650
   1.334678,    0.601791
   1.353913,    1.712913
   1.362375,    1.876377
   1.387882,    0.862711
   1.471368,    0.425663
   1.666959,    0.278746
   2.042038,    0.211464
   2.677285,    0.188022
