CLe, Neutral Point
  -0.109881,    0.283798
  -0.028559,    0.264194
   0.052896,    0.240697
   0.134483,    0.232870
   0.216205,    0.222198
   0.298177,    0.214502
   0.380161,    0.209555
   0.462285,    0.201608
   0.544548,    0.193689
   0.626954,    0.185789
   0.709505,    0.182249
   0.792203,    0.188083
   0.875049,    0.192069
   0.958045,    0.189233
   1.041194,    0.188222
   1.122728,    0.206320
   1.189293,    0.301462
   1.230668,    0.710684
   1.248509,    2.045276
   1.256454,    2.216172
   1.280188,    0.980548
   1.357524,    0.452448
   1.538497,    0.275099
   1.885442,    0.193621
