alpha_b, CL
  -4.000000,    0.190615
  -3.794872,    0.213139
  -3.589744,    0.235663
  -3.384615,    0.258187
  -3.179487,    0.280711
  -2.974359,    0.303235
  -2.769231,    0.325759
  -2.564103,    0.348283
  -2.358974,    0.370807
  -2.153846,    0.393331
  -1.948718,    0.415855
  -1.743590,    0.438379
  -1.538462,    0.460903
  -1.333333,    0.483427
  -1.128205,    0.505951
  -0.923077,    0.528475
  -0.717949,    0.550999
  -0.512821,    0.573523
  -0.307692,    0.596047
  -0.102564,    0.618571
   0.102564,    0.641095
   0.307692,    0.663618
   0.512821,    0.686142
   0.717949,    0.708666
   0.923077,    0.731190
   1.128205,    0.753714
   1.333333,    0.776238
   1.538462,    0.798762
   1.743590,    0.821286
   1.948718,    0.843810
   2.153846,    0.866334
   2.358974,    0.888858
   2.564103,    0.911382
   2.769231,    0.933906
   2.974359,    0.956430
   3.179487,    0.978954
   3.384615,    1.001478
   3.589744,    1.024002
   3.794872,    1.046526
   4.000000,    1.069050
