V (EAS), 
 118.422655,    0.000000
 118.422655,    1.000000
 126.069322,    1.133311
 133.715989,    1.274961
 141.362656,    1.424950
 149.009323,    1.583278
 156.655990,    1.749945
 164.302657,    1.924950
 171.949324,    2.108295
 179.595991,    2.299978
 187.242658,    2.500000
 285.960232,    2.654250
 357.450290,    2.500000
 357.450290,    0.000000
 285.960232,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,    0.000000
