V (EAS), 
  88.867358,    0.000000
  88.867358,    1.000000
  92.957365,    1.094165
  97.047372,    1.192567
 101.137379,    1.295206
 105.227386,    1.402081
 109.317393,    1.513192
 113.407401,    1.628539
 117.497408,    1.748123
 121.587415,    1.871943
 125.677422,    2.000000
 155.910934,    2.000000
 155.910934,    0.000000
