Time, Fuel used
   0.000000,    0.000000
   1.000000,    0.916760
   2.000000,    1.834222
   3.000000,    2.752199
   4.000000,    3.670530
   5.000000,    4.589092
   6.000000,    5.507838
   7.000000,    6.426674
   8.000000,    7.345612
   9.000000,    8.264644
  10.000000,    9.183762
  11.000000,   10.103067
  12.000000,   11.022514
  13.000000,   11.942260
  14.000000,   12.862256
  15.000000,   13.782624
  16.000000,   14.703327
  17.000000,   15.624424
  18.000000,   16.545895
  19.000000,   17.467757
  20.000000,   18.390004
  21.000000,   19.312658
  22.000000,   20.235724
  22.108370,   20.335791
  23.108370,   21.259399
  24.108370,   22.183517
  24.638595,   22.673782
  25.485015,   23.456694
  25.985015,   23.919387
  26.985015,   24.845168
  27.985015,   25.771090
  28.331518,   26.091889
  29.331518,   27.017434
  29.767083,   27.420388
  30.767083,   28.344958
  31.767083,   29.268684
  32.767083,   30.191551
  33.767083,   31.113557
  34.767083,   32.034698
  35.767083,   32.954974
  36.767083,   33.874381
  37.767083,   34.792919
  38.767083,   35.710584
  39.767083,   36.627375
  40.331518,   37.144457
  41.103528,   37.851247
  42.103528,   38.765987
  43.103528,   39.679851
  44.103528,   40.592840
  45.103528,   41.504953
  46.103528,   42.416193
  47.103528,   43.326562
  48.103528,   44.236058
  49.103528,   45.144685
  50.103528,   46.052443
  50.781054,   46.666980
  51.781054,   47.542813
  52.781054,   48.356873
  53.781054,   49.109362
  54.781054,   49.800435
  55.781054,   50.460647
  56.781054,   51.120463
  57.781054,   51.779884
  58.781054,   52.438912
  59.781054,   53.097547
  60.781054,   53.755790
  61.781054,   54.413640
  62.781054,   55.071098
  63.781054,   55.728165
  64.781054,   56.384841
  65.781054,   57.041127
  66.781054,   57.697023
  67.781054,   58.352531
  68.781054,   59.007651
  69.781054,   59.662382
  70.781054,   60.316726
  71.781054,   60.970683
  72.781054,   61.624252
  73.781054,   62.277435
  74.781054,   62.930232
  75.781054,   63.582642
  76.781054,   64.234667
  77.781054,   64.886307
  78.781054,   65.537563
  79.781054,   66.188433
  80.781054,   66.838920
  81.781054,   67.489022
  82.781054,   68.138742
  83.781054,   68.788078
  84.781054,   69.437031
  85.781054,   70.085602
  86.781054,   70.733791
  87.781054,   71.381602
  88.781054,   72.029040
  89.781054,   72.676104
  90.781054,   73.322795
  91.781054,   73.969113
  92.781054,   74.615059
  93.781054,   75.260634
  94.781054,   75.905836
  95.781054,   76.550668
  96.781054,   77.195128
  97.781054,   77.839218
  98.781054,   78.482938
  99.781054,   79.126288
 100.781054,   79.769268
 101.781054,   80.411879
 102.781054,   81.054120
 103.781054,   81.695994
 104.781054,   82.337499
 105.781054,   82.978636
 106.781054,   83.619406
 107.781054,   84.259808
 108.781054,   84.899844
 109.781054,   85.539513
 110.781054,   86.178815
 111.781054,   86.817752
 112.781054,   87.456324
 113.781054,   88.094530
 114.781054,   88.732371
 115.781054,   89.369848
 116.781054,   90.006961
 117.781054,   90.643709
 118.781054,   91.280095
 119.781054,   91.916117
 120.781054,   92.551777
 121.781054,   93.187074
 122.781054,   93.822009
 123.781054,   94.456582
 124.781054,   95.090790
 125.781054,   95.724311
 126.269912,   96.033687
