alpha_b, CD
  -4.000000,    0.008054
  -3.517241,    0.007916
  -3.034483,    0.007786
  -2.551724,    0.007668
  -2.068966,    0.007565
  -1.586207,    0.007479
  -1.103448,    0.007413
  -0.620690,    0.007368
  -0.137931,    0.007348
   0.344828,    0.007354
   0.827586,    0.007388
   1.310345,    0.007452
   1.793103,    0.007549
   2.275862,    0.007679
   2.758621,    0.007845
   3.241379,    0.008050
   3.724138,    0.008294
   4.206897,    0.008579
   4.689655,    0.008908
   5.172414,    0.009283
   5.655172,    0.009705
   6.137931,    0.010176
   6.620690,    0.010699
   7.103448,    0.011276
   7.586207,    0.011908
   8.068966,    0.012598
   8.551724,    0.013348
   9.034483,    0.014160
   9.517241,    0.015036
  10.000000,    0.015979
