alpha body, CLh_e
  -4.000000,   -0.273449
  -3.517241,   -0.275251
  -3.034483,   -0.276958
  -2.551724,   -0.278570
  -2.068966,   -0.280088
  -1.586207,   -0.281513
  -1.103448,   -0.282844
  -0.620690,   -0.284083
  -0.137931,   -0.285233
   0.344828,   -0.263810
   0.827586,   -0.270461
   1.310345,   -0.277024
   1.793103,   -0.283500
   2.275862,   -0.289892
   2.758621,   -0.296199
   3.241379,   -0.302424
   3.724138,   -0.308567
   4.206897,   -0.314631
   4.689655,   -0.320615
   5.172414,   -0.326522
   5.655172,   -0.332354
   6.137931,   -0.338112
   6.620690,   -0.343797
   7.103448,   -0.349411
   7.586207,   -0.354955
   8.068966,   -0.360431
   8.551724,   -0.365841
   9.034483,   -0.371187
   9.517241,   -0.376469
  10.000000,   -0.381552
