eta, gamma add.
   0.000000,  104.237621
   0.020408,  104.213953
   0.040816,  104.129681
   0.061224,  103.968866
   0.081633,  103.727478
   0.102041,  103.405388
   0.122449,  103.004470
   0.142857,  102.527700
   0.163265,  101.978666
   0.183673,  101.361288
   0.204082,  100.679691
   0.224490,   99.938197
   0.244898,   99.141439
   0.265306,   98.294693
   0.285714,   97.405025
   0.306122,   96.482781
   0.326531,   95.535249
   0.346939,   94.556420
   0.367347,   93.542838
   0.387755,   92.493485
   0.408163,   91.408028
   0.428571,   90.286386
   0.448980,   89.128541
   0.469388,   87.934435
   0.489796,   86.703890
   0.510204,   85.436200
   0.530612,   84.130779
   0.551020,   82.787147
   0.571429,   81.404135
   0.591837,   79.980181
   0.612245,   78.513251
   0.632653,   77.000731
   0.653061,   75.439295
   0.673469,   73.824730
   0.693878,   72.151703
   0.714286,   70.413454
   0.734694,   68.601375
   0.755102,   66.704426
   0.775510,   64.708323
   0.795918,   62.594360
   0.816327,   60.337688
   0.836735,   57.904706
   0.857143,   55.248969
   0.877551,   52.304488
   0.897959,   48.974128
   0.918367,   45.107868
   0.938776,   40.457251
   0.959184,   34.560940
   0.979592,   26.341970
   1.000000,    0.000000
