eta, gamma add.
   0.000000,  423.263203
   0.020408,  423.167098
   0.040816,  422.824907
   0.061224,  422.171907
   0.081633,  421.191736
   0.102041,  419.883871
   0.122449,  418.255916
   0.142857,  416.319965
   0.163265,  414.090580
   0.183673,  411.583679
   0.204082,  408.816013
   0.224490,  405.805132
   0.244898,  402.569846
   0.265306,  399.131581
   0.285714,  395.519030
   0.306122,  391.774201
   0.326531,  387.926691
   0.346939,  383.952099
   0.367347,  379.836386
   0.387755,  375.575425
   0.408163,  371.167859
   0.428571,  366.613363
   0.448980,  361.911866
   0.469388,  357.063122
   0.489796,  352.066422
   0.510204,  346.918887
   0.530612,  341.618148
   0.551020,  336.162248
   0.571429,  330.546442
   0.591837,  324.764391
   0.612245,  318.807833
   0.632653,  312.666154
   0.653061,  306.325849
   0.673469,  299.769808
   0.693878,  292.976380
   0.714286,  285.918115
   0.734694,  278.560057
   0.755102,  270.857382
   0.775510,  262.752082
   0.795918,  254.168206
   0.816327,  245.004853
   0.836735,  235.125583
   0.857143,  224.341799
   0.877551,  212.385557
   0.897959,  198.862427
   0.918367,  183.163243
   0.938776,  164.279130
   0.959184,  140.336799
   0.979592,  106.963171
   1.000000,    0.000000
