eta, gamma add.
   0.000000,   24.481226
   0.020408,   24.475667
   0.040816,   24.455875
   0.061224,   24.418106
   0.081633,   24.361413
   0.102041,   24.285768
   0.122449,   24.191608
   0.142857,   24.079634
   0.163265,   23.950688
   0.183673,   23.805691
   0.204082,   23.645611
   0.224490,   23.471464
   0.244898,   23.284337
   0.265306,   23.085471
   0.285714,   22.876523
   0.306122,   22.659925
   0.326531,   22.437388
   0.346939,   22.207501
   0.367347,   21.969451
   0.387755,   21.723000
   0.408163,   21.468070
   0.428571,   21.204641
   0.448980,   20.932710
   0.469388,   20.652263
   0.489796,   20.363257
   0.510204,   20.065528
   0.530612,   19.758937
   0.551020,   19.443372
   0.571429,   19.118558
   0.591837,   18.784128
   0.612245,   18.439605
   0.632653,   18.084375
   0.653061,   17.717657
   0.673469,   17.338460
   0.693878,   16.945534
   0.714286,   16.537289
   0.734694,   16.111704
   0.755102,   15.666187
   0.775510,   15.197383
   0.795918,   14.700898
   0.816327,   14.170897
   0.836735,   13.599487
   0.857143,   12.975761
   0.877551,   12.284221
   0.897959,   11.502053
   0.918367,   10.594024
   0.938776,    9.501781
   0.959184,    8.116975
   0.979592,    6.186669
   1.000000,    0.000000
