Xcg/c, Mass
  43.608244, 12079.619158
  47.258026, 12269.619158
  50.273267, 12459.619158
  52.682558, 12649.619158
  54.512799, 12839.619158
  55.789323, 13029.619158
  56.536004, 13219.619158
  56.775365, 13409.619158
  56.528668, 13599.619158
  55.816005, 13789.619158
  54.656374, 13979.619158
  53.067758, 14169.619158
  51.067182, 14359.619158
  48.670788, 14549.619158
  45.893881, 14739.619158
  42.750988, 14929.619158
  45.723571, 15119.619158
  48.196546, 15309.619158
  50.188284, 15499.619158
  51.716270, 15689.619158
  52.797150, 15879.619158
  53.446783, 16069.619158
  53.680287, 16259.619158
  53.512081, 16449.619158
  52.955926, 16639.619158
  52.024962, 16829.619158
  50.731741, 17019.619158
  49.088262, 17209.619158
  47.105998, 17399.619158
  44.795928, 17589.619158
  42.168562, 17779.619158
