Xcg/c, Mass
  34.620393, 14633.419924
  31.063441, 14837.419924
  28.051162, 15041.419924
  25.561690, 15245.419924
  23.574316, 15449.419924
  22.069409, 15653.419924
  21.028349, 15857.419924
  20.433462, 16061.419924
  20.267960, 16265.419924
  20.515887, 16469.419924
  21.162068, 16673.419924
  22.192062, 16877.419924
  23.592117, 17081.419924
  25.349132, 17285.419924
  27.450615, 17489.419924
  29.884652, 17693.419924
  32.639870, 17897.419924
  35.705411, 18101.419924
  39.070900, 18305.419924
  36.170545, 18509.419924
  33.693670, 18713.419924
  31.626574, 18917.419924
  29.956143, 19121.419924
  28.669815, 19325.419924
  27.755553, 19529.419924
  27.201818, 19733.419924
  26.997544, 19937.419924
  27.132111, 20141.419924
  27.595328, 20345.419924
  28.377406, 20549.419924
  29.468943, 20753.419924
  30.860902, 20957.419924
  32.544594, 21161.419924
  34.511663, 21365.419924
  36.754069, 21569.419924
  39.264072, 21773.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
  42.034221, 21977.419924
