Xcg/c, Mass
  34.206396, 13208.000000
  37.710486, 13398.000000
  40.636801, 13588.000000
  43.009246, 13778.000000
  44.850421, 13968.000000
  46.181716, 14158.000000
  47.023386, 14348.000000
  47.394629, 14538.000000
  47.313651, 14728.000000
  46.797731, 14918.000000
  45.863278, 15108.000000
  44.525887, 15298.000000
  42.800387, 15488.000000
  40.700888, 15678.000000
  38.240826, 15868.000000
  35.432998, 16058.000000
  38.308105, 16248.000000
  40.720152, 16438.000000
  42.685013, 16628.000000
  44.217843, 16818.000000
  45.333122, 17008.000000
  46.044688, 17198.000000
  46.365776, 17388.000000
  46.309048, 17578.000000
  45.886625, 17768.000000
  45.110112, 17958.000000
  43.990633, 18148.000000
  42.538848, 18338.000000
  40.764979, 18528.000000
  38.678834, 18718.000000
  36.289828, 18908.000000
