Xcg/c, Mass
  30.206396, 13208.000000
  26.898323, 13398.000000
  24.162543, 13588.000000
  21.975378, 13778.000000
  20.314443, 13968.000000
  19.158550, 14158.000000
  18.487636, 14348.000000
  18.282687, 14538.000000
  18.525668, 14728.000000
  19.199464, 14918.000000
  20.287822, 15108.000000
  21.775296, 15298.000000
  23.647195, 15488.000000
  25.889546, 15678.000000
  28.489039, 15868.000000
  31.432998, 16058.000000
  28.690838, 16248.000000
  26.408665, 16438.000000
  24.570710, 16628.000000
  23.161918, 16818.000000
  22.167906, 17008.000000
  21.574928, 17198.000000
  21.369836, 17388.000000
  21.540052, 17578.000000
  22.073537, 17768.000000
  22.958760, 17958.000000
  24.184674, 18148.000000
  25.740689, 18338.000000
  27.616650, 18528.000000
  29.802814, 18718.000000
  32.289828, 18908.000000
