DOC (M$_year), Block fuel (kg)
  12.795139, 2099.289208
  12.793470, 2094.800766
  12.794696, 2094.164985
  12.793823, 2094.925497
  12.793547, 2095.111672
  12.793513, 2095.696361
  12.793537, 2095.084251
  12.796202, 2100.536579
  12.794228, 2097.793174
  12.794569, 2094.225127
  12.794972, 2097.948681
  12.793468, 2095.977038
  12.794628, 2094.402705
  12.793721, 2095.311952
  12.794126, 2096.863501
  12.793912, 2096.172355
  12.795472, 2099.771594
  12.794164, 2094.309089
  12.794963, 2098.866386
  12.796672, 2100.863693
  12.796060, 2100.296682
  12.793827, 2095.100870
  12.793453, 2094.912221
  12.794404, 2098.114278
  12.793728, 2096.569562
  12.795605, 2099.934829
  12.793802, 2096.536492
  12.794232, 2097.953219
  12.794627, 2098.699889
  12.793907, 2096.683873
  12.796064, 2099.956022
  12.793204, 2095.335710
  12.794326, 2098.013214
  12.794430, 2094.203645
  12.794800, 2098.155819
  12.795103, 2098.921135
  12.793446, 2096.410364
  12.793715, 2096.407976
  12.794704, 2098.294974
  12.793885, 2097.315097
  12.794028, 2094.415686
  12.793560, 2096.472937
  12.794965, 2094.123413
  12.796586, 2100.782940
  12.795487, 2099.894711
  12.794333, 2094.413560
  12.794420, 2098.281755
  12.794454, 2094.250846
  12.794080, 2097.032533
  12.793976, 2097.517443
  12.793510, 2096.756549
  12.793715, 2094.536393
  12.794279, 2097.690886
  12.794717, 2098.295100
  12.794174, 2094.487686
  12.793652, 2096.601777
  12.794002, 2097.575679
  12.795595, 2099.262560
  12.796513, 2100.268765
  12.795603, 2099.474271
  12.793898, 2097.142487
  12.793556, 2096.812984
  12.794174, 2097.462009
  12.794193, 2097.980769
  12.794179, 2096.966433
  12.794515, 2098.270547
  12.793520, 2095.526111
  12.794213, 2098.050025
  12.793555, 2095.176351
  12.793230, 2095.751197
  12.793772, 2097.004840
  12.795220, 2098.841263
  12.794869, 2094.191861
  12.794882, 2098.805093
  12.795658, 2099.068719
  12.793247, 2095.454820
  12.794263, 2097.573480
  12.794766, 2098.419028
  12.793695, 2094.787703
  12.795989, 2099.445462
  12.793808, 2095.452938
  12.793559, 2096.616581
  12.794055, 2094.744756
  12.794198, 2098.044020
  12.793314, 2095.952102
  12.794609, 2098.206787
  12.793949, 2094.464277
  12.793734, 2094.687912
  12.796254, 2100.015164
  12.793261, 2095.825266
  12.795163, 2099.077026
  12.796151, 2100.481131
  12.794107, 2097.334284
  12.795658, 2099.520865
  12.793699, 2094.832071
  12.793306, 2095.748832
  12.793870, 2096.755252
  12.793455, 2095.940562
  12.793326, 2095.880749
  12.793878, 2094.421535
  12.794315, 2097.749769
  12.796221, 2100.365803
  12.794180, 2097.253918
  12.794525, 2098.438384
  12.793698, 2095.379639
  12.793776, 2096.793126
  12.793483, 2095.519601
  12.794902, 2098.534276
  12.793588, 2094.664392
  12.793839, 2094.782341
  12.796634, 2100.895846
  12.794058, 2097.589959
  12.795741, 2099.616431
  12.793800, 2096.904312
  12.793856, 2096.466273
  12.793376, 2095.061647
  12.793512, 2095.136731
  12.793796, 2094.517202
  12.793707, 2096.225275
  12.793769, 2095.863511
  12.793872, 2094.452518
  12.793940, 2094.585888
  12.793540, 2096.164899
  12.795427, 2099.162964
