DOC (M$_year), Block fuel (kg)
  12.793411, 2095.524663
  12.793661, 2095.762947
  12.793403, 2095.433988
  12.793414, 2095.516445
  12.793664, 2095.237922
  12.793426, 2095.503108
  12.793425, 2095.562994
  12.793359, 2096.112285
  12.793358, 2096.152472
  12.795085, 2098.945933
  12.793635, 2095.463770
  12.794117, 2096.905145
  12.794124, 2096.912788
  12.794161, 2096.949074
  12.793678, 2095.200318
  12.793527, 2095.272341
  12.793308, 2096.046429
  12.793786, 2096.817785
  12.793636, 2096.400482
  12.793900, 2094.960525
  12.794414, 2098.503055
  12.794408, 2098.496940
  12.793708, 2096.858068
  12.794124, 2096.921487
  12.793417, 2095.861029
  12.793583, 2095.140869
  12.794314, 2098.342854
  12.795534, 2099.788533
  12.793740, 2097.010106
  12.793457, 2095.911034
  12.794748, 2097.814592
  12.793429, 2095.882898
  12.793733, 2096.966874
  12.793642, 2095.930101
  12.794555, 2094.172484
  12.795572, 2098.567990
  12.794323, 2097.453724
  12.794464, 2094.193830
  12.794192, 2097.336933
  12.795527, 2099.782137
  12.795520, 2099.749749
  12.795552, 2098.550417
  12.794718, 2097.597560
  12.795733, 2099.941690
  12.793683, 2094.705803
  12.795448, 2099.649069
  12.795237, 2099.120259
  12.793661, 2096.540053
  12.793798, 2096.712409
  12.795759, 2099.940855
  12.794475, 2094.230016
  12.794951, 2098.895376
  12.794586, 2098.480798
  12.793666, 2094.738006
  12.794390, 2094.202481
  12.793474, 2094.773709
  12.793842, 2097.299881
  12.793248, 2096.042600
  12.794027, 2097.151411
  12.793500, 2094.902408
  12.796181, 2100.961041
  12.795491, 2099.725653
  12.793844, 2095.652370
  12.793564, 2094.827678
  12.795101, 2099.228882
  12.794710, 2094.156566
  12.796090, 2100.904748
  12.793383, 2095.023369
  12.794584, 2098.477729
  12.796030, 2100.847579
  12.793593, 2096.359780
  12.794912, 2098.924587
  12.793388, 2094.921798
  12.795442, 2099.640773
  12.794397, 2097.622800
  12.795369, 2099.573723
  12.795578, 2099.724861
  12.793708, 2096.621375
  12.795161, 2099.117215
  12.794202, 2095.758651
  12.795188, 2098.774191
  12.794829, 2098.030611
  12.795473, 2099.691429
  12.794375, 2097.606332
  12.793904, 2096.817486
  12.794733, 2097.952671
  12.796027, 2100.844567
  12.796184, 2100.977274
  12.793696, 2096.195489
  12.795423, 2094.092485
  12.793682, 2096.594433
  12.793611, 2096.498534
  12.793435, 2094.816028
  12.793773, 2096.579818
  12.793711, 2096.212191
  12.794892, 2098.095369
  12.793173, 2095.873406
  12.794858, 2097.798133
  12.796246, 2101.079475
  12.793608, 2096.516010
  12.795536, 2099.690127
  12.794699, 2098.564980
  12.793731, 2096.338721
  12.793776, 2096.680947
  12.793602, 2096.470995
  12.793732, 2096.655036
  12.793466, 2094.747402
  12.793715, 2094.603379
  12.793565, 2096.433602
  12.795208, 2099.498091
  12.795085, 2094.101646
  12.793798, 2094.597098
  12.793166, 2095.813963
  12.795045, 2098.660765
  12.793812, 2096.706051
  12.794222, 2097.196782
  12.793601, 2096.398006
  12.793713, 2094.636089
  12.794941, 2098.575223
  12.794073, 2097.321286
  12.795402, 2099.576874
  12.793863, 2094.420681
  12.797422, 2101.981162
  12.794175, 2094.431965
  12.793603, 2096.474293
  12.794446, 2097.846009
  12.794478, 2094.191314
  12.794900, 2098.132337
  12.793809, 2096.722933
  12.794953, 2094.110310
  12.795361, 2099.517916
  12.794419, 2098.556757
  12.794177, 2094.428072
  12.793956, 2094.414733
  12.793724, 2094.481947
  12.796250, 2101.083323
  12.797558, 2102.105337
  12.793775, 2096.619998
  12.795150, 2099.402601
  12.795162, 2099.292150
  12.793911, 2097.118082
  12.793692, 2096.941323
  12.797094, 2101.468639
  12.797434, 2101.997167
  12.796364, 2101.189388
  12.796388, 2101.144425
