alpha body, Efficiency
  -4.000000,   -5.268110
  -3.517241,   -2.873630
  -3.034483,   -0.260222
  -2.551724,    2.465428
  -2.068966,    5.190126
  -1.586207,    7.798764
  -1.103448,   10.185483
  -0.620690,   12.273518
  -0.137931,   14.012830
   0.344828,   15.393151
   0.827586,   16.424844
   1.310345,   17.137291
   1.793103,   17.578382
   2.275862,   17.790790
   2.758621,   17.824819
   3.241379,   17.716478
   3.724138,   17.502040
   4.206897,   17.208899
   4.689655,   16.858289
   5.172414,   16.469206
   5.655172,   16.055240
   6.137931,   15.628626
   6.620690,   15.193997
   7.103448,   14.761083
   7.586207,   14.332226
   8.068966,   13.842490
