alpha body, Efficiency
  -4.000000,   -5.718324
  -3.517241,   -3.120775
  -3.034483,   -0.285547
  -2.551724,    2.671611
  -2.068966,    5.627875
  -1.586207,    8.458335
  -1.103448,   11.048107
  -0.620690,   13.313866
  -0.137931,   15.204561
   0.344828,   16.709431
   0.827586,   17.835873
   1.310345,   18.615043
   1.793103,   19.098621
   2.275862,   19.332814
   2.758621,   19.372282
   3.241379,   19.256223
   3.724138,   19.024175
   4.206897,   18.706034
   4.689655,   18.326341
   5.172414,   17.905942
   5.655172,   17.457662
   6.137931,   16.995174
   6.620690,   16.523539
   7.103448,   16.053301
   7.586207,   15.587110
   8.068966,   15.055229
