V (EAS), 
 116.277255,    0.000000
 116.277255,    1.000000
 123.785391,    1.133311
 131.293527,    1.274961
 138.801664,    1.424950
 146.309800,    1.583278
 153.817937,    1.749945
 161.326073,    1.924950
 168.834209,    2.108295
 176.342346,    2.299978
 183.850482,    2.500000
 285.960232,    2.711435
 357.450290,    2.500000
 357.450290,   -0.027592
 285.960232,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,    0.000000
