CL_e, CD_e
   0.162375,    0.148973
   0.161693,    0.230405
   0.161030,    0.312082
   0.160407,    0.394001
   0.159833,    0.476162
   0.159329,    0.558563
   0.158904,    0.641203
   0.158564,    0.724083
   0.158335,    0.807203
   0.158212,    0.891773
   0.158231,    0.974375
   0.158392,    1.057216
   0.158701,    1.140298
   0.159178,    1.223621
   0.159834,    1.307187
   0.160675,    1.390996
   0.161708,    1.475049
   0.162944,    1.559349
   0.164401,    1.643897
   0.166108,    1.728694
   0.168051,    1.813742
   0.170238,    1.899043
   0.172680,    1.984600
   0.175431,    2.070407
   0.178574,    2.155246
   0.182337,    2.235729
   0.186243,    2.308794
   0.190208,    2.372041
