alpha, CL
   0.000000,    0.000000
   1.578947,    0.057288
   3.157895,    0.114577
   4.736842,    0.171865
   6.315789,    0.229154
   7.894737,    0.286442
   9.473684,    0.343730
  11.052632,    0.401019
  12.631579,    0.458281
  14.210526,    0.515387
  15.789474,    0.572152
  17.368421,    0.628357
  18.947368,    0.683746
  20.526316,    0.738029
  22.105263,    0.790883
  23.684211,    0.841947
  25.263158,    0.890825
  26.842105,    0.937088
  28.421053,    0.980270
  30.000000,    1.019870
