Time, Emission CO2
   0.000000,    0.097346
   0.100000,   97.350944
   0.200000,  194.744532
   0.300000,  292.143372
   0.400000,  389.542212
   0.500000,  486.941053
   0.600000,  584.339893
   0.700000,  681.738733
   0.800000,  779.137574
   0.900000,  876.536414
   1.000000,  973.935254
   1.100000, 1071.334095
   1.200000, 1168.797988
   1.300000, 1266.270003
   1.400000, 1363.742018
   1.500000, 1461.214033
   1.600000, 1558.686048
   1.700000, 1656.158063
   1.800000, 1753.630079
   1.900000, 1851.102094
   2.000000, 1948.574109
   2.100000, 2046.046124
   2.200000, 2143.567212
   2.300000, 2241.094426
   2.400000, 2338.621641
   2.500000, 2436.148856
   2.600000, 2533.676070
   2.700000, 2631.203285
   2.800000, 2728.730499
   2.900000, 2826.257714
   3.000000, 2923.784929
   3.100000, 3021.312143
   3.200000, 3118.872927
   3.300000, 3216.437903
   3.400000, 3314.002878
   3.500000, 3411.567853
   3.600000, 3509.132829
   3.700000, 3606.697804
   3.800000, 3704.262779
   3.900000, 3801.827755
   4.000000, 3899.392730
   4.100000, 3996.957705
   4.200000, 4094.541236
   4.300000, 4192.127085
   4.400000, 4289.712933
   4.500000, 4387.298781
   4.600000, 4484.884629
   4.700000, 4582.470477
   4.800000, 4680.056325
   4.900000, 4777.642173
   5.000000, 4875.228021
   5.100000, 4972.813869
   5.200000, 5070.403760
   5.300000, 5167.994156
   5.400000, 5265.584552
   5.500000, 5363.174948
   5.600000, 5460.765344
   5.700000, 5558.355740
   5.800000, 5655.946136
   5.900000, 5753.536532
   6.000000, 5851.126928
   6.100000, 5948.717324
   6.200000, 6046.341198
   6.300000, 6143.969252
   6.400000, 6241.597307
   6.500000, 6339.225361
   6.600000, 6436.853415
   6.700000, 6534.481470
   6.800000, 6632.109524
   6.900000, 6729.737578
   7.000000, 6827.365633
   7.100000, 6924.993687
   7.200000, 7022.712658
   7.300000, 7120.442982
   7.400000, 7218.173305
   7.500000, 7315.903629
   7.600000, 7413.633952
   7.700000, 7511.364275
   7.800000, 7609.094599
   7.900000, 7706.824922
   8.000000, 7804.555245
   8.100000, 7902.285569
   8.200000, 8000.075738
   8.300000, 8097.873379
   8.400000, 8195.671021
   8.500000, 8293.468662
   8.600000, 8391.266304
   8.700000, 8489.063945
   8.800000, 8586.861587
   8.900000, 8684.659228
   9.000000, 8782.456869
   9.100000, 8880.254511
   9.200000, 8978.080607
   9.300000, 9075.910256
   9.400000, 9173.739906
   9.500000, 9271.569555
   9.600000, 9369.399204
   9.700000, 9467.228853
   9.800000, 9565.058502
   9.900000, 9662.888151
  10.000000, 9760.717801
  10.100000, 9858.547450
  10.200000, 9956.375794
  10.300000, 10054.203975
  10.400000, 10152.032156
  10.500000, 10249.860337
  10.600000, 10347.688518
  10.700000, 10445.516700
  10.800000, 10543.344881
  10.900000, 10641.173062
  11.000000, 10739.001243
  11.100000, 10836.829424
  11.200000, 10934.628146
  11.300000, 11032.423189
  11.400000, 11130.218233
  11.500000, 11228.013276
  11.600000, 11325.808320
  11.700000, 11423.603363
  11.800000, 11521.398407
  11.900000, 11619.193450
  12.000000, 11716.988494
  12.100000, 11814.783537
  12.200000, 11912.522544
  12.300000, 12010.254555
  12.400000, 12107.986565
  12.500000, 12205.718576
  12.600000, 12303.450586
  12.700000, 12401.182597
  12.800000, 12498.914607
  12.900000, 12596.646617
  13.000000, 12694.378628
  13.100000, 12792.110638
  13.200000, 12889.885942
  13.300000, 12987.666651
  13.400000, 13085.447360
  13.500000, 13183.228069
  13.600000, 13281.008778
  13.700000, 13378.789487
  13.800000, 13476.570196
  13.900000, 13574.350905
  14.000000, 13672.131614
  14.100000, 13769.912323
  14.200000, 13867.869332
  14.300000, 13965.848353
  14.400000, 14063.827375
  14.500000, 14161.806397
  14.600000, 14259.785419
  14.700000, 14357.764441
  14.800000, 14455.743463
  14.900000, 14553.722484
  15.000000, 14651.701506
  15.100000, 14749.680528
  15.200000, 14847.774590
  15.300000, 14945.883015
  15.400000, 15043.991441
  15.500000, 15142.099866
  15.600000, 15240.208291
  15.700000, 15338.316717
  15.800000, 15436.425142
  15.900000, 15534.533568
  16.000000, 15632.641993
  16.100000, 15730.750419
  16.200000, 15828.914358
  16.300000, 15927.085229
  16.400000, 16025.256100
  16.500000, 16123.426971
  16.600000, 16221.597842
  16.700000, 16319.768713
  16.800000, 16417.939584
  16.900000, 16516.110455
  17.000000, 16614.281326
  17.100000, 16712.452197
  17.200000, 16810.623534
  17.300000, 16908.794930
  17.400000, 17006.966325
  17.500000, 17105.137721
  17.600000, 17203.309116
  17.700000, 17301.480511
  17.800000, 17399.651907
  17.900000, 17497.823302
  18.000000, 17595.994698
  18.100000, 17694.166093
  18.200000, 17792.287181
  18.300000, 17890.401988
  18.400000, 17988.516795
  18.500000, 18086.631602
  18.600000, 18184.746409
  18.700000, 18282.861215
  18.800000, 18380.976022
  18.900000, 18479.090829
  19.000000, 18577.205636
  19.100000, 18675.320442
  19.200000, 18773.338240
  19.300000, 18871.343926
  19.400000, 18969.349612
  19.500000, 19067.355298
  19.600000, 19165.360983
  19.700000, 19263.366669
  19.800000, 19361.372355
  19.900000, 19459.378041
  20.000000, 19557.383726
  20.100000, 19655.389412
  20.200000, 19753.255262
  20.300000, 19851.103652
  20.400000, 19948.952042
  20.500000, 20046.800431
  20.600000, 20144.648821
  20.700000, 20242.497211
  20.800000, 20340.345601
  20.900000, 20438.193991
  21.000000, 20536.042381
  21.100000, 20633.890770
  21.200000, 20731.634611
  21.300000, 20829.365398
  21.400000, 20927.096185
  21.500000, 21024.826972
  21.600000, 21122.557759
  21.700000, 21220.288546
  21.800000, 21318.019333
  21.900000, 21415.750120
  22.000000, 21513.480906
  22.100000, 21611.211693
  22.200000, 21709.086673
  22.300000, 21806.979656
  22.400000, 21904.872639
  22.500000, 22002.765622
  22.600000, 22100.658606
  22.700000, 22198.551589
