CDi, CL
   0.001108,    0.190615
   0.001385,    0.213139
   0.001693,    0.235663
   0.002032,    0.258187
   0.002403,    0.280711
   0.002804,    0.303235
   0.003236,    0.325759
   0.003698,    0.348283
   0.004192,    0.370807
   0.004717,    0.393331
   0.005273,    0.415855
   0.005859,    0.438379
   0.006477,    0.460903
   0.007125,    0.483427
   0.007805,    0.505951
   0.008515,    0.528475
   0.009257,    0.550999
   0.010029,    0.573523
   0.010832,    0.596047
   0.011666,    0.618571
   0.012531,    0.641095
   0.013427,    0.663618
   0.014354,    0.686142
   0.015312,    0.708666
   0.016301,    0.731190
   0.017321,    0.753714
   0.018371,    0.776238
   0.019453,    0.798762
   0.020565,    0.821286
   0.021709,    0.843810
   0.022883,    0.866334
   0.024089,    0.888858
   0.025325,    0.911382
   0.026592,    0.933906
   0.027890,    0.956430
   0.029220,    0.978954
   0.030580,    1.001478
   0.031971,    1.024002
   0.033393,    1.046526
   0.034845,    1.069050
