LTO_Nox (kg), TOTAL GWP (kg)
   1.260304, 5432.313548
   1.260314, 5419.238921
   1.260368, 5417.709701
   1.260305, 5419.715718
   1.260299, 5420.205133
   1.260288, 5421.863751
   1.260300, 5420.122671
   1.260320, 5436.070633
   1.260287, 5427.910426
   1.260349, 5417.873626
   1.260290, 5428.601142
   1.260285, 5422.610637
   1.260339, 5418.420602
   1.260298, 5420.776275
   1.260282, 5425.309839
   1.260284, 5423.310485
   1.260308, 5433.776269
   1.260335, 5418.034104
   1.260295, 5431.128110
   1.260329, 5437.069680
   1.260321, 5435.329971
   1.260302, 5420.248507
   1.260304, 5419.596349
   1.260291, 5428.843856
   1.260284, 5424.343248
   1.260310, 5434.283420
   1.260285, 5424.270667
   1.260291, 5428.339360
   1.260295, 5430.558769
   1.260285, 5424.725200
   1.260314, 5434.421259
   1.260299, 5420.718917
   1.260291, 5428.541375
   1.260353, 5417.769357
   1.260288, 5429.127831
   1.260299, 5431.286190
   1.260287, 5423.806180
   1.260283, 5423.913738
   1.260291, 5429.467174
   1.260283, 5426.503066
   1.260332, 5418.310041
   1.260281, 5424.054293
   1.260373, 5417.654960
   1.260328, 5436.825383
   1.260312, 5434.101235
   1.260332, 5418.379012
   1.260291, 5429.337377
   1.260344, 5417.923135
   1.260283, 5425.766968
   1.260287, 5427.058386
   1.260284, 5424.815186
   1.260318, 5418.583045
   1.260287, 5427.657680
   1.260293, 5429.433635
   1.260324, 5418.567166
   1.260280, 5424.449949
   1.260285, 5427.258214
   1.260301, 5432.422693
   1.260324, 5435.373502
   1.260305, 5432.997370
   1.260286, 5425.983212
   1.260283, 5425.002231
   1.260288, 5426.950220
   1.260289, 5428.447291
   1.260282, 5425.623283
   1.260294, 5429.300208
   1.260295, 5421.318539
   1.260288, 5428.648594
   1.260298, 5420.354351
   1.260289, 5421.911057
   1.260285, 5425.566311
   1.260299, 5431.100002
   1.260364, 5417.850412
   1.260297, 5430.903188
   1.260302, 5431.869450
   1.260291, 5421.086725
   1.260284, 5427.325300
   1.260295, 5429.784811
   1.260310, 5419.276068
   1.260307, 5433.020485
   1.260293, 5421.226153
   1.260284, 5424.427262
   1.260313, 5419.288264
   1.260290, 5428.609485
   1.260287, 5422.489901
   1.260293, 5429.152456
   1.260324, 5418.439198
   1.260313, 5419.034962
   1.260315, 5434.640124
   1.260289, 5422.128235
   1.260300, 5431.749731
   1.260320, 5435.899584
   1.260284, 5426.604563
   1.260306, 5433.108688
   1.260305, 5419.443017
   1.260287, 5421.937347
   1.260286, 5424.892707
   1.260284, 5422.534751
   1.260286, 5422.320332
   1.260333, 5418.275334
   1.260284, 5427.852165
   1.260323, 5435.559110
   1.260285, 5426.390007
   1.260291, 5429.814968
   1.260297, 5420.961576
   1.260281, 5425.024495
   1.260288, 5421.341737
   1.260292, 5430.184918
   1.260318, 5418.882829
   1.260308, 5419.337322
   1.260330, 5437.145102
   1.260286, 5427.300285
   1.260307, 5433.397454
   1.260281, 5425.328613
   1.260284, 5424.095921
   1.260303, 5420.000638
   1.260301, 5420.219475
   1.260319, 5418.543973
   1.260282, 5423.412317
   1.260285, 5422.403856
   1.260325, 5418.379547
   1.260316, 5418.791959
   1.260288, 5423.130825
   1.260303, 5432.042635
