eta, Gamma
   0.000000,   20.907427
   0.020408,   20.919890
   0.040816,   20.947907
   0.061224,   20.979472
   0.081633,   21.009861
   0.102041,   21.036412
   0.122449,   21.057448
   0.142857,   21.071851
   0.163265,   21.078843
   0.183673,   21.077858
   0.204082,   21.068472
   0.224490,   21.050346
   0.244898,   21.023197
   0.265306,   20.986774
   0.285714,   20.940836
   0.306122,   20.885146
   0.326531,   20.819454
   0.346939,   20.743490
   0.367347,   20.656960
   0.387755,   20.559533
   0.408163,   20.450838
   0.428571,   20.330455
   0.448980,   20.197909
   0.469388,   20.052662
   0.489796,   19.894103
   0.510204,   19.721392
   0.530612,   19.533717
   0.551020,   19.330313
   0.571429,   19.110154
   0.591837,   18.872073
   0.612245,   18.614738
   0.632653,   18.336624
   0.653061,   18.035987
   0.673469,   17.710821
   0.693878,   17.358810
   0.714286,   16.977272
   0.734694,   16.563077
   0.755102,   16.112550
   0.775510,   15.621339
   0.795918,   15.084217
   0.816327,   14.494818
   0.836735,   13.845213
   0.857143,   13.125254
   0.877551,   12.321457
   0.897959,   11.415030
   0.918367,   10.378020
   0.938776,    9.164898
   0.959184,    7.690383
   0.979592,    5.747959
   1.000000,    0.000000
