eta, Gamma
   0.000000,  104.537134
   0.020408,  104.599450
   0.040816,  104.739535
   0.061224,  104.897358
   0.081633,  105.049307
   0.102041,  105.182061
   0.122449,  105.287240
   0.142857,  105.359256
   0.163265,  105.394213
   0.183673,  105.389291
   0.204082,  105.342359
   0.224490,  105.251729
   0.244898,  105.115985
   0.265306,  104.933868
   0.285714,  104.704181
   0.306122,  104.425730
   0.326531,  104.097269
   0.346939,  103.717452
   0.367347,  103.284802
   0.387755,  102.797666
   0.408163,  102.254189
   0.428571,  101.652274
   0.448980,  100.989546
   0.469388,  100.263311
   0.489796,   99.470513
   0.510204,   98.606960
   0.530612,   97.668584
   0.551020,   96.651563
   0.571429,   95.550771
   0.591837,   94.360367
   0.612245,   93.073688
   0.632653,   91.683120
   0.653061,   90.179936
   0.673469,   88.554105
   0.693878,   86.794052
   0.714286,   84.886359
   0.734694,   82.815383
   0.755102,   80.562752
   0.775510,   78.106693
   0.795918,   75.421085
   0.816327,   72.474089
   0.836735,   69.226066
   0.857143,   65.626268
   0.877551,   61.607287
   0.897959,   57.075152
   0.918367,   51.890098
   0.938776,   45.824492
   0.959184,   38.451913
   0.979592,   28.739796
   1.000000,    0.000000
