eta, Cl_basic
   0.000000,    0.292264
   0.020408,    0.294446
   0.040816,    0.298537
   0.061224,    0.302303
   0.081633,    0.305799
   0.102041,    0.309060
   0.122449,    0.312109
   0.142857,    0.314960
   0.163265,    0.317626
   0.183673,    0.320111
   0.204082,    0.322419
   0.224490,    0.324546
   0.244898,    0.326485
   0.265306,    0.328223
   0.285714,    0.329626
   0.306122,    0.330019
   0.326531,    0.328739
   0.346939,    0.326841
   0.367347,    0.324633
   0.387755,    0.322150
   0.408163,    0.319417
   0.428571,    0.316454
   0.448980,    0.313275
   0.469388,    0.309895
   0.489796,    0.306323
   0.510204,    0.302565
   0.530612,    0.298628
   0.551020,    0.294518
   0.571429,    0.290238
   0.591837,    0.285786
   0.612245,    0.281162
   0.632653,    0.276361
   0.653061,    0.271377
   0.673469,    0.266198
   0.693878,    0.260811
   0.714286,    0.255197
   0.734694,    0.249327
   0.755102,    0.243169
   0.775510,    0.236674
   0.795918,    0.229779
   0.816327,    0.222399
   0.836735,    0.214412
   0.857143,    0.205650
   0.877551,    0.195864
   0.897959,    0.184682
   0.918367,    0.171512
   0.938776,    0.155347
   0.959184,    0.134275
   0.979592,    0.103764
   1.000000,    0.000000
