Ground Roll distance, Vertical Forces
1080.498118, 46418.200864
1104.279926, 46418.200864
1266.101139, 46418.200864
1298.208135, 46418.200864
1330.229907, 46418.200864
1362.166678, 46418.200864
1394.018668, 46418.200864
1395.290987, 46418.200864
1397.835220, 46418.200864
1398.852762, 46418.200864
1399.283943, 46418.200864
1400.146259, 46418.200864
1400.217584, 46418.200864
1400.252780, 46418.200864
1400.274084, 46418.200864
1400.289534, 46418.200864
1400.303403, 46418.200864
1400.309609, 46418.200864
1400.310673, 46418.200864
1400.311637, 46418.200864
1400.321284, 46418.200864
1400.417748, 46418.200864
1401.382215, 46418.200864
1411.009142, 46418.200864
1505.426948, 46418.200864
1600.887457, 46418.200864
1688.379388, 46418.200864
1767.625284, 46418.200864
1838.828525, 46418.200864
1902.299012, 46418.200864
1958.409550, 46418.200864
1973.286167, 46418.200864
1986.135532, 46418.200864
1991.895829, 46418.200864
1994.411879, 46418.200864
1996.798116, 46418.200864
2020.006061, 46418.200864
2038.157048, 46418.200864
2051.878858, 46418.200864
2055.485211, 46418.200864
2059.334241, 46418.200864
2095.002937, 46418.200864
2103.308442, 46418.200864
2110.546768, 46418.200864
2114.029024, 46418.200864
2115.849326, 46418.200864
2118.212454, 46418.200864
2140.041788, 46418.200864
2163.751303, 46418.200864
2168.418705, 46418.200864
2172.652811, 46418.200864
2176.850072, 46418.200864
2177.663144, 46418.200864
2178.057768, 46418.200864
2178.413719, 46418.200864
2181.787256, 46418.200864
2193.022269, 46418.200864
2194.772006, 46418.200864
2195.470733, 46418.200864
2195.940018, 46418.200864
2196.244726, 46418.200864
2196.412609, 46418.200864
2196.466741, 46418.200864
2196.466851, 46418.200864
2196.466851, 46418.200864
