eta, Cl
   0.000000,    1.134543
   0.020408,    1.142972
   0.040816,    1.159311
   0.061224,    1.175230
   0.081633,    1.190664
   0.102041,    1.205583
   0.122449,    1.219983
   0.142857,    1.233867
   0.163265,    1.247248
   0.183673,    1.260137
   0.204082,    1.272551
   0.224490,    1.284503
   0.244898,    1.296006
   0.265306,    1.307072
   0.285714,    1.317489
   0.306122,    1.326013
   0.326531,    1.331412
   0.346939,    1.335685
   0.367347,    1.339367
   0.387755,    1.342481
   0.408163,    1.345043
   0.428571,    1.347062
   0.448980,    1.348544
   0.469388,    1.349487
   0.489796,    1.349887
   0.510204,    1.349727
   0.530612,    1.348988
   0.551020,    1.347653
   0.571429,    1.345686
   0.591837,    1.343045
   0.612245,    1.339673
   0.632653,    1.335502
   0.653061,    1.330441
   0.673469,    1.324379
   0.693878,    1.317174
   0.714286,    1.308648
   0.734694,    1.298572
   0.755102,    1.286652
   0.775510,    1.272504
   0.795918,    1.255624
   0.816327,    1.235337
   0.836735,    1.210725
   0.857143,    1.180508
   0.877551,    1.142858
   0.897959,    1.095066
   0.918367,    1.032934
   0.938776,    0.949501
   0.959184,    0.831891
   0.979592,    0.650441
   1.000000,    0.000000
