CD, CL
   0.016603,   -0.858558
   0.015195,   -0.821311
   0.014010,   -0.784280
   0.013045,   -0.747442
   0.012298,   -0.710791
   0.011763,   -0.674322
   0.011440,   -0.638027
   0.011324,   -0.601901
   0.011410,   -0.565937
   0.011701,   -0.530130
   0.012189,   -0.494472
   0.012892,   -0.458159
   0.013832,   -0.420809
   0.014996,   -0.383254
   0.016393,   -0.345488
   0.018032,   -0.307305
   0.019997,   -0.267237
   0.022456,   -0.223107
   0.025624,   -0.172893
   0.029785,   -0.114797
   0.035217,   -0.048100
   0.041861,    0.023848
   0.047999,    0.083615
   0.054529,    0.141925
   0.061663,    0.200794
   0.069416,    0.260217
   0.077746,    0.319798
   0.086538,    0.378748
   0.095583,    0.435882
   0.104564,    0.489618
