eta, Cl
   0.000000,    0.138364
   0.020408,    0.138886
   0.040816,    0.139890
   0.061224,    0.140854
   0.081633,    0.141776
   0.102041,    0.142656
   0.122449,    0.143492
   0.142857,    0.144282
   0.163265,    0.145026
   0.183673,    0.145722
   0.204082,    0.146370
   0.224490,    0.146968
   0.244898,    0.147514
   0.265306,    0.148008
   0.285714,    0.148447
   0.306122,    0.148830
   0.326531,    0.149154
   0.346939,    0.149417
   0.367347,    0.149617
   0.387755,    0.149749
   0.408163,    0.149812
   0.428571,    0.149800
   0.448980,    0.149710
   0.469388,    0.149537
   0.489796,    0.149274
   0.510204,    0.148915
   0.530612,    0.148452
   0.551020,    0.147877
   0.571429,    0.147182
   0.591837,    0.146356
   0.612245,    0.145386
   0.632653,    0.144259
   0.653061,    0.142958
   0.673469,    0.141464
   0.693878,    0.139755
   0.714286,    0.137807
   0.734694,    0.135587
   0.755102,    0.133060
   0.775510,    0.130183
   0.795918,    0.126901
   0.816327,    0.123148
   0.836735,    0.118841
   0.857143,    0.113871
   0.877551,    0.108093
   0.897959,    0.101308
   0.918367,    0.093220
   0.938776,    0.083355
   0.959184,    0.070845
   0.979592,    0.053637
   1.000000,    0.000000
