alpha, CM
  -4.000000,   -0.134866
  -3.517241,   -0.134956
  -3.034483,   -0.135046
  -2.551724,   -0.135136
  -2.068966,   -0.135226
  -1.586207,   -0.135316
  -1.103448,   -0.135405
  -0.620690,   -0.135495
  -0.137931,   -0.135585
   0.344828,   -0.115640
   0.827586,   -0.120791
   1.310345,   -0.125943
   1.793103,   -0.131094
   2.275862,   -0.136246
   2.758621,   -0.141397
   3.241379,   -0.146549
   3.724138,   -0.151700
   4.206897,   -0.156851
   4.689655,   -0.162003
   5.172414,   -0.167154
   5.655172,   -0.172306
   6.137931,   -0.177457
   6.620690,   -0.182608
   7.103448,   -0.187760
   7.586207,   -0.192911
   8.068966,   -0.198062
   8.551724,   -0.203214
   9.034483,   -0.208365
   9.517241,   -0.213517
  10.000000,   -0.218668
