Ground Roll Distance, Horizontal Forces
 337.923087, -46690.766775
 345.838624, -46431.087333
 400.307209, -44653.326770
 411.041852, -44304.866703
 421.724295, -43958.727459
 432.354885, -43614.890885
 442.933966, -43273.339001
 445.043631, -43205.301217
 445.097186, -43203.574387
 445.121746, -43202.782439
 445.146061, -43201.998438
 445.160717, -43201.525857
 445.165593, -43201.368646
 445.168368, -43201.279161
 445.168762, -43201.265013
 445.169167, -43201.237708
 445.173219, -43200.964654
 445.213730, -43198.234060
 445.618755, -43170.921958
 449.660320, -42897.185016
 460.342087, -42163.015005
 467.171980, -41685.268009
 470.312232, -41470.197689
 473.695863, -41262.394148
 506.867854, -39143.290753
 554.801279, -35789.262491
 599.743270, -32272.105899
 641.555497, -28600.710401
 680.108495, -24786.556145
 715.283912, -20843.685147
 746.976701, -16788.584373
 775.097154, -12639.977037
 777.485138, -12257.058538
 778.896876, -12028.069237
 779.431719, -11953.341095
 779.984834, -11907.113064
 785.422309, -11443.363647
 808.397165, -9259.610078
 827.607336, -7030.979991
 842.986340, -4769.417978
 854.488740, -2487.611238
 862.091175, -198.711614
 865.711235, 1983.118215
 865.989170, 2380.766806
 866.132711, 2719.855769
 866.189155, 3041.805906
 866.190737, 3082.326487
 866.191093, 3106.609485
 866.191112, 3113.937867
