CL_e, delta_e_eq
  -0.343931,    4.646538
  -0.288241,    4.239979
  -0.232495,    3.839462
  -0.176691,    3.444640
  -0.120831,    3.055475
  -0.064912,    2.671939
  -0.008938,    2.293840
   0.047096,    1.921375
   0.103188,    1.554980
   0.159340,    1.195738
   0.215549,    0.841927
   0.271820,    0.493675
   0.328150,    0.150867
   0.386699,   -0.043124
   0.443094,   -0.378463
   0.499551,   -0.708304
   0.556069,   -1.032665
   0.612649,   -1.351559
   0.669294,   -1.664852
   0.726001,   -1.974165
   0.782774,   -2.277773
   0.839612,   -2.575801
   0.896517,   -2.868134
   0.953489,   -3.154810
   1.010528,   -3.435665
   1.067636,   -3.783080
   1.124808,   -4.345015
   1.182050,   -4.929463
   1.239362,   -5.538472
   1.295054,   -6.176178
