CL_e, delta_e_eq
  -0.377894,    2.379422
  -0.316719,    2.338970
  -0.255481,    2.305074
  -0.194176,    2.277413
  -0.132809,    2.255916
  -0.071374,    2.240589
  -0.009876,    2.231210
   0.051690,    2.228011
   0.113321,    2.230804
   0.175021,    2.239960
   0.236787,    2.255111
   0.298621,    2.276403
   0.360523,    2.303713
   0.424866,    2.495408
   0.486845,    2.530976
   0.548894,    2.572638
   0.611013,    2.620383
   0.673202,    2.674205
   0.735465,    2.734256
   0.797799,    2.800565
   0.860209,    2.873203
   0.922693,    2.952043
   0.985253,    3.037213
   1.047889,    3.128682
   1.110604,    3.226630
   1.173396,    3.258682
   1.236262,    3.076882
   1.299210,    2.873262
   1.362237,    2.654522
   1.423491,    2.398394
