eta, Cl
   0.000000,    1.154196
   0.020408,    1.163068
   0.040816,    1.179907
   0.061224,    1.195793
   0.081633,    1.210909
   0.102041,    1.225372
   0.122449,    1.239269
   0.142857,    1.252672
   0.163265,    1.265637
   0.183673,    1.278216
   0.204082,    1.290454
   0.224490,    1.302398
   0.244898,    1.314094
   0.265306,    1.325600
   0.285714,    1.336548
   0.306122,    1.344558
   0.326531,    1.347277
   0.346939,    1.348570
   0.367347,    1.349408
   0.387755,    1.349777
   0.408163,    1.349672
   0.428571,    1.349087
   0.448980,    1.348013
   0.469388,    1.346443
   0.489796,    1.344362
   0.510204,    1.341747
   0.530612,    1.338573
   0.551020,    1.334816
   0.571429,    1.330437
   0.591837,    1.325385
   0.612245,    1.319602
   0.632653,    1.313011
   0.653061,    1.305519
   0.673469,    1.297011
   0.693878,    1.287343
   0.714286,    1.276334
   0.734694,    1.263756
   0.755102,    1.249320
   0.775510,    1.232651
   0.795918,    1.213263
   0.816327,    1.190514
   0.836735,    1.163533
   0.857143,    1.131126
   0.877551,    1.091595
   0.897959,    1.042450
   0.918367,    0.979848
   0.938776,    0.897441
   0.959184,    0.783456
   0.979592,    0.610560
   1.000000,    0.000000
