alpha, CL
   0.000000,    0.046646
   1.578947,    0.101620
   3.157895,    0.156594
   4.736842,    0.211568
   6.315789,    0.266541
   7.894737,    0.321515
   9.473684,    0.376489
  11.052632,    0.431463
  12.631579,    0.486374
  14.210526,    0.540934
  15.789474,    0.594810
  17.368421,    0.647675
  18.947368,    0.699211
  20.526316,    0.749107
  22.105263,    0.797057
  23.684211,    0.842765
  25.263158,    0.885941
  26.842105,    0.926300
  28.421053,    0.963568
  30.000000,    0.997475
