alpha, CL
   0.000000,    0.186583
   1.578947,    0.241557
   3.157895,    0.296531
   4.736842,    0.351505
   6.315789,    0.406479
   7.894737,    0.461453
   9.473684,    0.516427
  11.052632,    0.571401
  12.631579,    0.626312
  14.210526,    0.680871
  15.789474,    0.734747
  17.368421,    0.787612
  18.947368,    0.839149
  20.526316,    0.889044
  22.105263,    0.936995
  23.684211,    0.982703
  25.263158,    1.025878
  26.842105,    1.066237
  28.421053,    1.103505
  30.000000,    1.137412
