alpha, CL
   0.000000,    0.478905
   1.578947,    0.533879
   3.157895,    0.588853
   4.736842,    0.643827
   6.315789,    0.698801
   7.894737,    0.753775
   9.473684,    0.808749
  11.052632,    0.863722
  12.631579,    0.918633
  14.210526,    0.973193
  15.789474,    1.027069
  17.368421,    1.079934
  18.947368,    1.131471
  20.526316,    1.181366
  22.105263,    1.229317
  23.684211,    1.275025
  25.263158,    1.318200
  26.842105,    1.358559
  28.421053,    1.395827
  30.000000,    1.429734
