alpha, CL
   0.000000,    0.287421
   1.578947,    0.342395
   3.157895,    0.397369
   4.736842,    0.452343
   6.315789,    0.507317
   7.894737,    0.562291
   9.473684,    0.617265
  11.052632,    0.672239
  12.631579,    0.727150
  14.210526,    0.781710
  15.789474,    0.835585
  17.368421,    0.888451
  18.947368,    0.939987
  20.526316,    0.989883
  22.105263,    1.037833
  23.684211,    1.083541
  25.263158,    1.126716
  26.842105,    1.167076
  28.421053,    1.204343
  30.000000,    1.238251
