alpha, CL
   0.000000,    0.000000
   1.578947,    0.054974
   3.157895,    0.109948
   4.736842,    0.164922
   6.315789,    0.219896
   7.894737,    0.274870
   9.473684,    0.329843
  11.052632,    0.384817
  12.631579,    0.439728
  14.210526,    0.494288
  15.789474,    0.548164
  17.368421,    0.601029
  18.947368,    0.652565
  20.526316,    0.702461
  22.105263,    0.750412
  23.684211,    0.796120
  25.263158,    0.839295
  26.842105,    0.879654
  28.421053,    0.916922
  30.000000,    0.950829
