alpha, CL
   0.000000,    0.393291
   1.578947,    0.448265
   3.157895,    0.503238
   4.736842,    0.558212
   6.315789,    0.613186
   7.894737,    0.668160
   9.473684,    0.723134
  11.052632,    0.778108
  12.631579,    0.833019
  14.210526,    0.887579
  15.789474,    0.941454
  17.368421,    0.994320
  18.947368,    1.045856
  20.526316,    1.095752
  22.105263,    1.143702
  23.684211,    1.189410
  25.263158,    1.232585
  26.842105,    1.272945
  28.421053,    1.310212
  30.000000,    1.344120
