alpha body, Efficiency
 -10.000000,    3.417864
  -9.000000,    4.497547
  -8.000000,    5.635239
  -7.000000,    6.803082
  -6.000000,    7.987536
  -5.000000,    9.158677
  -4.000000,   10.278956
  -3.000000,   11.299382
  -2.000000,   12.211971
  -1.000000,   12.990997
   0.000000,   13.621405
   1.000000,   14.095435
   2.000000,   14.426081
   3.000000,   14.611148
   4.000000,   14.650438
   5.000000,   14.567486
   6.000000,   14.392404
   7.000000,   14.139656
   8.000000,   13.829979
   9.000000,   13.476619
  10.000000,   13.093054
  11.000000,   12.685166
  12.000000,   12.256320
  13.000000,   11.796457
  14.000000,   11.299226
  15.000000,   10.765163
  16.000000,   10.199582
  17.000000,    9.580345
  18.000000,    8.991033
