alpha body, Efficiency
 -10.000000,    3.494999
  -9.000000,    4.600844
  -8.000000,    5.766138
  -7.000000,    6.962349
  -6.000000,    8.175593
  -5.000000,    9.375209
  -4.000000,   10.522798
  -3.000000,   11.568859
  -2.000000,   12.504581
  -1.000000,   13.303676
   0.000000,   13.950551
   1.000000,   14.437189
   2.000000,   14.776845
   3.000000,   14.967218
   4.000000,   15.008342
   5.000000,   14.924939
   6.000000,   14.746836
   7.000000,   14.488848
   8.000000,   14.172238
   9.000000,   13.810605
  10.000000,   13.417981
  11.000000,   13.001017
  12.000000,   12.562302
  13.000000,   12.091730
  14.000000,   11.582776
  15.000000,   11.037192
  16.000000,   10.460287
  17.000000,    9.860890
  18.000000,    9.248791
  19.000000,    8.661138
  20.000000,    8.239640
