alpha body, Efficiency
 -10.000000,    3.422554
  -9.090909,    4.404096
  -8.181818,    5.428705
  -7.272727,    6.486831
  -6.363636,    7.567544
  -5.454545,    8.647161
  -4.545455,    9.681067
  -3.636364,   10.656948
  -2.727273,   11.560300
  -1.818182,   12.376496
  -0.909091,   13.076497
  -0.000000,   13.645687
   0.909091,   14.078079
   1.818182,   14.384923
   2.727273,   14.573565
   3.636364,   14.655362
   4.545455,   14.632757
   5.454545,   14.512358
   6.363636,   14.319469
   7.272727,   14.074270
   8.181818,   13.784495
   9.090909,   13.458811
  10.000000,   13.102087
  10.909091,   12.726593
  11.818182,   12.340473
  12.727273,   11.935097
  13.636364,   11.498049
  14.545455,   11.025323
  15.454545,   10.520569
  16.363636,    9.993163
  17.272727,    9.424839
