alpha body, Efficiency
 -10.000000,    3.418100
  -9.000000,    4.497863
  -8.000000,    5.635640
  -7.000000,    6.803570
  -6.000000,    7.988113
  -5.000000,    9.159340
  -4.000000,   10.279725
  -3.000000,   11.300232
  -2.000000,   12.212893
  -1.000000,   12.991982
   0.000000,   13.622440
   1.000000,   14.096509
   2.000000,   14.427181
   3.000000,   14.612262
   4.000000,   14.651602
   5.000000,   14.568642
   6.000000,   14.393544
   7.000000,   14.140774
   8.000000,   13.831069
   9.000000,   13.477678
  10.000000,   13.094123
  11.000000,   12.686196
  12.000000,   12.257310
  13.000000,   11.797404
  14.000000,   11.300127
  15.000000,   10.766066
  16.000000,   10.200429
  17.000000,    9.581628
  18.000000,    8.991677
